Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
0,5,3,3,0.2843000846716988,1,0,1,1,0,3,3.324858852256543,7,135,2,P03,P04,P04,P03
1,5,3,3,0.09421101684011118,1,1,1,0,0,3,1.1237857733116898,10,135,0,P03,P03,P01,P01
2,5,3,3,0.14104151594465975,1,1,1,0,0,3,1.2523733606244791,9,135,0,P02,P02,P01,P02
3,5,3,3,0.15347190732313437,1,1,0,1,0,3,1.4127264098226084,7,135,1,P04,P04,P04,P01
4,5,3,3,0.38672387063752794,1,0,0,1,0,2,1.8924121074557605,8,135,1,P04,P01,P04,P04
5,5,3,3,0.17314858962226934,1,1,1,0,0,3,1.290913386095458,12,135,0,P01,P03,P01,P01
6,5,3,3,0.23941269246825336,1,1,0,1,0,3,1.8910958870546404,10,135,1,P04,P04,P04,P04
7,5,3,3,0.26904225498781165,1,1,1,1,0,4,2.334455613788531,7,135,0,P04,P01,P04,P04
8,5,3,3,0.12690231552847445,1,1,1,1,0,4,1.4089936357528483,6,135,0,P04,P01,P01,P03
9,5,3,3,0.10860915678105393,1,1,1,1,0,4,1.311476673323914,7,135,0,P01,P01,P01,P01
10,5,3,3,0.4566025977986701,1,0,0,1,0,2,2.693891272393831,7,135,1,P04,P04,P04,P04
11,5,3,3,0.16000259562993258,1,1,0,0,0,2,1.2225612796562693,8,135,0,P02,P01,P02,P02
12,5,3,3,0.11974557037808445,1,1,1,0,0,3,1.2811873019872526,10,135,0,P03,P03,P01,P02
13,5,3,3,0.19489380747724216,1,1,1,0,0,3,1.7665418887388058,10,135,0,P03,P02,P02,P01
14,5,3,3,0.37926693150732343,1,1,1,0,0,3,1.9436128626940015,12,135,0,P02,P02,P02,P03
15,5,3,3,0.2546001907489972,1,0,1,1,0,3,2.116806780048145,11,135,2,P03,P03,P03,P04
16,5,3,3,0.11763216972160093,1,1,1,0,0,3,1.9288597222297246,13,135,0,P03,P01,P01,P03
17,5,3,3,0.25544816931458525,1,1,1,1,0,4,1.9580383658948963,6,135,0,P04,P04,P04,P01
18,5,3,3,0.07998950759188142,1,1,1,1,0,4,1.2820731728070762,6,135,0,P04,P04,P02,P01
19,5,3,3,0.2577554695558923,1,1,1,0,0,3,1.6050600636542875,13,135,0,P02,P03,P01,P03
20,5,3,3,0.2037916079090312,1,1,1,1,0,4,1.8002633297665214,7,135,0,P04,P01,P04,P02
21,5,3,3,0.18691489894586857,1,1,1,1,0,4,2.5140175356707766,9,135,0,P02,P04,P02,P01
22,5,3,3,0.4230826118068842,1,1,1,0,0,3,1.9145014442221928,10,135,0,P02,P02,P03,P01
