Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
0,5,5,3,0.2494863776454076,1,1,1,1,0,4,1.9529234654496865,7,1215,0,P04,P01,P01,P02,P04,P02
1,5,5,3,0.5004793633742348,1,0,1,0,0,2,5.153188228068453,11,1215,1,P03,P03,P03,P03,P03,P03
2,5,5,3,0.42507617484652743,1,0,0,1,0,2,2.2387092685876246,9,1215,1,P04,P04,P04,P04,P04,P04
3,5,5,3,0.3100347440676868,1,1,0,1,0,3,1.8571880931739702,13,1215,1,P04,P04,P02,P04,P04,P01
4,5,5,3,0.14653372258623304,1,1,1,0,0,3,2.582162941537433,9,1215,0,P01,P01,P01,P01,P01,P01
5,5,5,3,0.32549310902830436,1,1,0,1,0,3,2.5238270018953686,11,1215,1,P04,P02,P04,P02,P04,P02
6,5,5,3,0.5948907280327593,1,1,0,1,0,3,3.536258810495531,9,1215,1,P04,P02,P02,P02,P04,P02
7,5,5,3,0.576818300305811,1,0,1,0,0,2,2.245534585105109,10,1215,1,P03,P03,P03,P03,P01,P03
8,5,5,3,0.319550448066977,1,1,0,1,0,3,2.3843218904164334,12,1215,1,P04,P04,P04,P01,P01,P02
9,5,5,3,0.34108871054210793,1,0,0,1,0,2,2.3976102470971905,8,1215,1,P04,P04,P04,P04,P04,P04
10,5,5,3,0.3696990039445719,1,1,1,1,0,4,2.812736189146761,8,1215,0,P04,P03,P04,P01,P03,P04
11,5,5,3,0.33760572455275173,1,1,1,0,0,3,3.341085612119335,9,1215,0,P03,P03,P03,P01,P03,P03
12,5,5,3,0.1870577029615897,1,1,0,1,0,3,2.369552467327696,8,1215,1,P04,P01,P04,P04,P01,P01
13,5,5,3,0.23037160066821463,1,1,0,1,0,3,2.802239324571726,8,1215,1,P04,P04,P02,P04,P01,P04
14,5,5,3,0.360652393097844,1,1,1,0,0,3,2.3430484786634924,9,1215,0,P03,P01,P01,P03,P03,P03
15,5,5,3,0.15732873142483186,1,1,1,0,0,3,2.119694880217169,10,1215,0,P01,P01,P03,P02,P01,P01
16,5,5,3,0.329114225424645,1,1,0,0,0,2,1.808742821774032,7,1215,0,P02,P01,P02,P02,P01,P02
17,5,5,3,0.2296139529309112,1,1,0,0,0,2,1.5428722333400096,8,1215,0,P01,P02,P01,P02,P01,P01
18,5,5,3,0.42439826701930766,1,0,0,1,0,2,1.9573239117391101,9,1215,1,P04,P04,P04,P04,P04,P04
19,5,5,3,0.31349180443049596,1,1,1,1,0,4,3.250854072267333,13,1215,0,P04,P02,P04,P03,P04,P04
