Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,10,1,3,0.18178962671209234,1,1,1,1,1,1,0,0,0,0,6,1.3667672090445437,13,30,0,P05,P03
1,10,1,3,0.17060694201043858,1,1,1,0,1,0,0,0,0,0,4,1.4099735214798734,13,30,1,P05,P05
2,10,1,3,0.1922789671600314,1,1,1,1,1,1,0,0,0,0,6,2.1342302653754204,13,30,0,P06,P03
3,10,1,3,0.11680068721001471,1,1,1,1,1,1,1,0,0,0,7,1.4925905759530638,13,30,0,P07,P07
4,10,1,3,0.12983597592788138,1,1,1,1,0,1,0,0,0,0,5,1.3713539872420377,13,30,1,P03,P03
5,10,1,3,0.26094779307382615,1,1,1,0,0,0,0,0,0,0,3,1.3537473990751052,18,30,0,P01,P03
6,10,1,3,0.25542592787187673,1,1,1,0,0,1,0,0,0,0,4,1.8009811788484313,16,30,1,P03,P06
7,10,1,3,0.20544683386442,1,1,1,1,1,1,0,0,0,0,6,1.3628664747264465,16,30,0,P06,P02
8,10,1,3,0.19947734386513954,1,1,1,1,1,1,1,0,0,0,7,1.807279145045868,15,30,0,P07,P07
9,10,1,3,0.24114800776690454,1,1,1,1,1,1,0,0,0,0,6,1.8876871095922216,13,30,0,P05,P06
10,10,1,3,0.13674988718601577,1,1,1,1,1,1,1,0,0,0,7,1.3674638051293304,12,30,0,P06,P02
11,10,1,3,0.2500866381000885,1,1,1,0,1,0,0,0,0,0,4,1.5912266191773141,11,30,1,P05,P05
12,10,1,3,0.29667190863000775,1,1,1,1,0,0,0,0,0,0,4,1.4372059633430756,17,30,0,P02,P03
13,10,1,3,0.17049592134316613,1,1,1,1,1,1,0,0,0,0,6,1.3738261355323398,13,30,0,P06,P06
14,10,1,3,0.132348867061155,1,1,1,1,1,1,0,0,0,0,6,1.5167369923971665,12,30,0,P04,P02
15,10,1,3,0.2109637103767083,1,1,1,1,1,0,0,0,1,0,6,1.8466134521678454,18,30,1,P05,P09
