Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
0,10,5,3,0.4368781718176493,1,1,1,0,0,0,0,0,1,0,4,2.955736555138425,41,2430,1,P09,P09,P09,P09,P03,P01
1,10,5,3,0.40964545918072315,1,0,0,0,1,0,0,0,0,0,2,3.387682491980237,48,2430,1,P05,P05,P01,P01,P05,P05
2,10,5,3,0.4344908933417899,1,0,0,0,0,0,1,1,0,0,3,4.501978262800628,32,2430,2,P07,P08,P07,P07,P07,P07
3,10,5,3,0.26379402850852174,1,1,1,0,0,0,0,0,0,0,3,2.0068715649389683,44,2430,0,P02,P02,P02,P02,P02,P03
4,10,5,3,0.6645898808504139,1,1,0,1,0,0,0,0,0,0,3,3.3117950894065364,32,2430,1,P04,P01,P02,P04,P04,P04
5,10,5,3,0.3020885183677929,1,1,1,0,0,1,0,0,0,0,4,3.0956962706300053,44,2430,1,P06,P06,P03,P02,P06,P01
6,10,5,3,0.6963526603150799,1,0,0,0,0,0,1,0,0,0,2,5.473388127200675,29,2430,1,P07,P07,P07,P07,P07,P07
7,10,5,3,0.3745992311087316,1,0,0,0,0,0,0,1,0,0,2,2.843711992438883,41,2430,1,P08,P08,P08,P01,P08,P01
8,10,5,3,0.33898305678841334,1,1,1,1,1,0,0,0,1,0,6,4.495504298694089,48,2430,1,P09,P05,P09,P03,P09,P05
9,10,5,3,0.38841176713789605,1,1,1,0,0,0,0,0,0,0,3,2.7834381566112443,50,2430,0,P03,P01,P03,P01,P03,P03
10,10,5,3,0.5196174674886375,1,0,0,0,1,1,0,0,0,0,3,3.8206709474181553,31,2430,2,P06,P06,P05,P06,P05,P05
11,10,5,3,0.4115894015181663,1,1,0,0,0,0,0,1,0,0,3,2.8011792045949804,30,2430,1,P08,P08,P01,P02,P08,P02
12,10,5,3,0.38044314588692896,1,1,1,1,1,0,0,0,0,0,5,1.9325006717622948,47,2430,0,P05,P05,P03,P05,P01,P03
13,10,5,3,0.39792792831259316,1,1,1,0,1,0,0,0,0,0,4,3.165120579907372,29,2430,1,P03,P03,P01,P03,P05,P01
14,10,5,3,0.2501076605258707,1,1,1,0,0,0,0,0,0,0,3,2.1068835326516866,45,2430,0,P03,P02,P03,P03,P01,P01
15,10,5,3,0.5441618526372398,1,0,0,1,1,0,0,0,0,0,3,3.7043258421692826,53,2430,2,P05,P04,P05,P05,P04,P04
16,10,5,3,0.3398312390911655,1,1,1,0,0,0,0,0,0,0,3,2.294244304851481,54,2430,0,P02,P01,P02,P02,P01,P01
17,10,5,3,0.2993073402945049,1,1,1,1,1,0,1,0,0,0,6,3.559020922655576,38,2430,1,P05,P05,P05,P07,P01,P07
18,10,5,3,0.36942201478110187,1,1,1,0,1,0,0,0,0,0,4,3.6677355276586368,27,2430,1,P05,P01,P01,P01,P05,P01
19,10,5,3,0.40961360856715223,1,1,1,0,0,1,0,0,0,0,4,1.8471405631481108,40,2430,1,P06,P01,P03,P06,P06,P02
20,10,5,3,0.4851267264732904,1,0,0,0,0,0,0,1,0,0,2,4.186232341074883,65,2430,1,P08,P08,P08,P08,P08,P01
21,10,5,3,0.2905268750041637,1,0,0,0,0,0,0,1,0,0,2,2.683768621524515,34,2430,1,P08,P01,P08,P01,P08,P08
