Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,20,1,3,0.3023450247924916,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1.6641754230542878,38,60,1,P06,P14
1,20,1,3,0.22486738048924818,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.595363734300637,35,60,0,P03,P04
2,20,1,3,0.30733636145245724,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.865970697733387,37,60,0,P03,P05
3,20,1,3,0.23127062530494288,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2.1646162381993315,30,60,1,P11,P11
4,20,1,3,0.3326982722207052,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1.9813537014024458,31,60,1,P16,P16
5,20,1,3,0.2897312325299257,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.8992852634537472,33,60,0,P06,P08
6,20,1,3,0.29304541545145674,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9,2.211275025472815,31,60,1,P06,P14
7,20,1,3,0.23026902170748853,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.798340764229235,28,60,0,P09,P07
8,20,1,3,0.26956182640766285,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1.7714957921542909,33,60,1,P06,P08
9,20,1,3,0.35353054209010176,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7568384026580786,32,60,1,P07,P07
10,20,1,3,0.2938878220110219,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1.9555297843901531,30,60,1,P08,P08
11,20,1,3,0.26503105143751765,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1.767575335347726,36,60,1,P06,P10
12,20,1,3,0.2736591651021819,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.9706331591895125,30,60,0,P03,P08
13,20,1,3,0.295490413293451,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1.799528069732656,33,60,1,P06,P12
14,20,1,3,0.2440475530521878,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1.2747679101889837,36,60,2,P03,P08
15,20,1,3,0.27184301926934273,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.489019322506628,38,60,0,P05,P01
16,20,1,3,0.2465471646553915,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.1083965372877436,30,60,0,P06,P04
17,20,1,3,0.18273506848616416,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.712095673347096,32,60,0,P07,P06
18,20,1,3,0.1887736063497907,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6156591543814791,28,60,0,P04,P03
19,20,1,3,0.23442276276234109,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.996321235145094,29,60,0,P04,P03
20,20,1,3,0.24978997936871394,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10,1.908437663029134,32,60,1,P11,P11
21,20,1,3,0.22373476855547433,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8319252943867852,36,60,0,P04,P06
22,20,1,3,0.25878342133344734,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.9902704048208153,35,60,0,P05,P03
23,20,1,3,0.2143780223004405,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1.8986868159886843,30,60,1,P06,P12
24,20,1,3,0.2750278692974119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,2.097302769339368,29,60,0,P08,P05
25,20,1,3,0.30169936073462644,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1.7535483911937262,32,60,1,P10,P10
26,20,1,3,0.3100934640994613,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1.8077062811255304,33,60,1,P16,P16
27,20,1,3,0.267154265891902,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.735036210796074,36,60,2,P04,P06
28,20,1,3,0.29219688275708544,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.1451366278842228,31,60,0,P08,P05
29,20,1,3,0.29674369167621395,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1.9749878304631308,28,60,1,P10,P10
30,20,1,3,0.2355923330673917,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.8688968955720378,27,60,0,P05,P01
31,20,1,3,0.22041038768206184,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.2658659352524473,33,60,0,P05,P04
32,20,1,3,0.29328091663374534,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1.8117827879433341,31,60,3,P12,P12
33,20,1,3,0.29568934599384983,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1.910771724514397,30,60,1,P14,P14
34,20,1,3,0.33528840825895934,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2.468237602955987,37,60,1,P06,P08
35,20,1,3,0.2614961133464136,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.129321661625679,34,60,0,P06,P02
36,20,1,3,0.23972461822336308,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1.90669597092575,35,60,1,P10,P10
37,20,1,3,0.36627841887063295,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2.0126210953234844,34,60,1,P10,P10
38,20,1,3,0.21906098816388994,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.4597912545315197,29,60,0,P03,P03
39,20,1,3,0.25535615036382486,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.4368091146788904,43,60,0,P03,P02
40,20,1,3,0.34812680606640356,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.771039787455606,38,60,0,P05,P04
41,20,1,3,0.3433666347366294,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1.8246529612046039,31,60,1,P15,P15
42,20,1,3,0.31693082968832226,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.5777850205352313,36,60,0,P05,P05
43,20,1,3,0.22963458180816995,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.9974052103320847,27,60,0,P06,P04
44,20,1,3,0.2078410666079228,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5079557008904718,35,60,0,P05,P04
45,20,1,3,0.23334298512560966,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10,2.003308765008604,35,60,1,P05,P16
46,20,1,3,0.2537381241080739,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.9078044122920668,31,60,0,P02,P02
47,20,1,3,0.2587339508542034,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5638086377572868,31,60,0,P08,P03
48,20,1,3,0.2656692389110283,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8791901593085467,34,60,0,P08,P04
49,20,1,3,0.3029455775516551,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1.8920928421631777,33,60,1,P03,P10
50,20,1,3,0.21915232044039928,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.5672235279147437,33,60,0,P05,P04
51,20,1,3,0.2659445493341649,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,1.996131944545458,30,60,2,P06,P10
52,20,1,3,0.2545699936342781,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7141133804378716,36,60,0,P08,P07
53,20,1,3,0.2932346142445238,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6958319407209883,36,60,0,P08,P06
54,20,1,3,0.291805362655416,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2.078261638608898,31,60,1,P13,P13
55,20,1,3,0.19678825432669023,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1.7560973060823013,28,60,1,P10,P10
56,20,1,3,0.22870338531000156,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6618992066210252,31,60,0,P08,P01
57,20,1,3,0.2814595275908825,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1.4893307713923525,31,60,1,P09,P09
58,20,1,3,0.30606839666101215,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.5413242490711374,36,60,0,P04,P04
59,20,1,3,0.23765317308484857,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6781283616067992,33,60,0,P06,P01
60,20,1,3,0.2791343665586683,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.7327118201104184,31,60,0,P09,P09
61,20,1,3,0.2630162786122656,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1.9989730069739928,37,60,1,P03,P01
62,20,1,3,0.29382681976850206,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,1.7940334266550262,38,60,1,P07,P17
63,20,1,3,0.18227533188406053,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.8360824423060507,29,60,0,P06,P05
64,20,1,3,0.2775474868476683,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6727400286056193,31,60,0,P04,P04
65,20,1,3,0.2992155772894434,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2.114821474803575,28,60,1,P10,P10
66,20,1,3,0.20732949767308373,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.681333986802957,33,60,0,P09,P09
67,20,1,3,0.29505274768473716,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.9734975345406003,35,60,0,P03,P06
68,20,1,3,0.2962650015506416,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2.3048731019565483,28,60,1,P05,P12
69,20,1,3,0.275982316233156,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7184073710913412,32,60,0,P03,P03
70,20,1,3,0.3219711631127301,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.746078389746434,34,60,0,P08,P05
71,20,1,3,0.39169201490015254,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2.1760350307539884,35,60,1,P05,P08
72,20,1,3,0.24526588657640339,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.5081802310850358,36,60,0,P02,P05
73,20,1,3,0.30431408081205696,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.099440933630052,35,60,0,P03,P05
74,20,1,3,0.25398740603933173,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.78200768251304,33,60,0,P05,P04
75,20,1,3,0.2239624571615399,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,2.0774383499562403,29,60,0,P10,P13
76,20,1,3,0.2712278399762943,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.5284212639688493,33,60,0,P04,P05
77,20,1,3,0.2588432637287022,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6894757426687321,35,60,0,P07,P04
78,20,1,3,0.20435747713906915,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,10,1.4718817475596815,31,60,1,P08,P17
