Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
0,20,3,3,0.26010305616177765,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1.8559484919056954,87,540,1,P12,P12,P12,P02
1,20,3,3,0.5325400703721775,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.5326060699886797,65,540,1,P09,P09,P09,P09
2,20,3,3,0.4556952855775985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2.6220831978446144,61,540,1,P15,P15,P15,P15
3,20,3,3,0.32261428949567,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.86249297225427,82,540,1,P11,P02,P11,P11
4,20,3,3,0.37433223971869745,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1.955151261995176,56,540,1,P05,P12,P01,P05
5,20,3,3,0.4523523906638175,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,3.2289026795576077,69,540,2,P11,P11,P11,P13
6,20,3,3,0.4557556822923837,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0801452939709373,82,540,1,P06,P01,P06,P06
7,20,3,3,0.40920605412106525,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2.7762899095187668,99,540,1,P16,P16,P16,P03
8,20,3,3,0.4707020302345528,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2.4804741536247232,66,540,1,P12,P01,P12,P12
9,20,3,3,0.3709542681016747,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2.930216070516699,54,540,1,P14,P14,P03,P14
10,20,3,3,0.31566531614868254,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2.241094662333027,83,540,2,P07,P12,P04,P07
11,20,3,3,0.2752266746441033,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2.0547294387244013,65,540,1,P15,P01,P15,P02
12,20,3,3,0.4603508045123332,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3.024587314067781,101,540,1,P17,P02,P17,P17
13,20,3,3,0.3410537456701732,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2.34929720133983,73,540,2,P05,P13,P05,P05
14,20,3,3,0.5761555159498125,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3.7595588960844717,85,540,2,P13,P04,P13,P04
15,20,3,3,0.34182753097905605,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2.623370295426824,77,540,1,P04,P04,P10,P04
16,20,3,3,0.5003359332473778,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.611557540654273,69,540,1,P07,P07,P04,P04
17,20,3,3,0.37348212178962203,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.0291198222890876,82,540,1,P06,P06,P06,P03
18,20,3,3,0.37018406886452915,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2.943833043544129,57,540,1,P18,P18,P18,P01
19,20,3,3,0.3873087802592007,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2.955515365285632,74,540,2,P09,P12,P02,P09
20,20,3,3,0.373053980838427,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2.5190443321877045,71,540,1,P15,P15,P04,P03
