Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
0,20,5,3,0.39366073126030626,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2826694019194362,157,4860,1,P08,P03,P08,P08,P08,P01
1,20,5,3,0.5783358487448425,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.990329835767999,200,4860,2,P07,P05,P01,P07,P02,P02
2,20,5,3,0.4150287179051414,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.1186059372500687,177,4860,1,P06,P02,P06,P06,P01,P06
3,20,5,3,0.43858948378783913,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2.9557849403974403,137,4860,2,P08,P02,P07,P08,P07,P08
4,20,5,3,0.4536733137579396,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.3952009216941335,110,4860,1,P06,P06,P01,P06,P06,P06
5,20,5,3,0.553541504678731,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3.2801934703961693,164,4860,2,P08,P17,P08,P08,P08,P08
6,20,5,3,0.577573532096197,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4.208609185177289,121,4860,2,P19,P19,P19,P01,P03,P19
7,20,5,3,0.6592937672969751,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4.649608806483589,131,4860,2,P16,P03,P16,P16,P16,P03
8,20,5,3,0.48560762281966663,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.063112713661932,210,4860,0,P05,P02,P06,P05,P02,P04
9,20,5,3,0.4555203578707271,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.636310338823952,152,4860,1,P07,P07,P01,P07,P07,P01
10,20,5,3,0.43368898249695853,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.643796039899585,154,4860,1,P07,P07,P02,P07,P07,P07
11,20,5,3,0.49837135645784714,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.63741398821128,143,4860,1,P05,P01,P05,P03,P05,P01
12,20,5,3,0.40475737508853626,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.330067645226988,119,4860,1,P07,P07,P01,P07,P02,P01
13,20,5,3,0.4685160537819546,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,5.1295829812474505,157,4860,2,P11,P11,P11,P11,P09,P09
14,20,5,3,0.30593251116790443,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.381138089628421,128,4860,1,P07,P07,P01,P05,P04,P07
15,20,5,3,0.4764231345315411,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2.4706643771321515,112,4860,2,P11,P09,P02,P11,P09,P09
16,20,5,3,0.47337692105768486,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.4921907198533217,147,4860,1,P05,P02,P01,P02,P05,P03
17,20,5,3,0.5505043980783677,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3.1663606507644038,182,4860,1,P13,P02,P13,P02,P13,P13
18,20,5,3,0.4711512062713337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4.055549498940392,107,4860,1,P19,P19,P01,P19,P01,P19
19,20,5,3,0.4884132899457283,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3.973455157975599,97,4860,1,P18,P18,P01,P18,P18,P03
20,20,5,3,0.4046028014816211,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3.213372354680465,242,4860,2,P13,P13,P06,P13,P13,P04
21,20,5,3,0.6323457632706702,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3.5244419265461686,152,4860,2,P13,P06,P06,P06,P06,P13
22,20,5,3,0.4500006935820614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3.1826719000953108,102,4860,1,P15,P01,P15,P15,P15,P01
23,20,5,3,0.5212502322226776,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3.0521934675578253,138,4860,1,P11,P11,P02,P11,P11,P02
24,20,5,3,0.49911220643897725,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.5843848426717377,135,4860,1,P09,P03,P01,P09,P09,P09
25,20,5,3,0.3997530282921421,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3.5581124536695756,119,4860,2,P16,P06,P06,P01,P16,P16
26,20,5,3,0.6894651578636867,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.632444382556639,221,4860,3,P07,P03,P07,P07,P01,P05
27,20,5,3,0.507924688062799,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,4.317077322136953,126,4860,2,P08,P10,P01,P08,P05,P05
28,20,5,3,0.4580952879098323,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3.564303477349569,192,4860,1,P10,P10,P03,P10,P03,P01
29,20,5,3,0.5419674289144076,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5.558810445082957,160,4860,1,P10,P10,P03,P10,P03,P10
30,20,5,3,0.5821674961434372,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.245767593777104,128,4860,1,P06,P06,P06,P06,P06,P06
31,20,5,3,0.3079787430689358,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2.8645288620040237,148,4860,2,P07,P08,P07,P03,P02,P07
32,20,5,3,0.6274365082382297,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3.7818389558751164,156,4860,3,P04,P06,P04,P10,P04,P04
33,20,5,3,0.6621961002882262,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.670863769328585,88,4860,2,P07,P07,P06,P06,P06,P06
34,20,5,3,0.4060565904745249,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4.393070937537394,152,4860,2,P16,P12,P16,P01,P12,P01
35,20,5,3,0.613267817577487,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,4.538235716596621,209,4860,2,P10,P11,P10,P11,P10,P11
36,20,5,3,0.34981089496187007,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.035433487780024,160,4860,1,P07,P04,P01,P02,P07,P07
37,20,5,3,0.4314084929951948,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2.8748364696559707,128,4860,1,P13,P02,P02,P13,P01,P13
38,20,5,3,0.40651740617725934,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5862768696661047,179,4860,2,P08,P03,P08,P07,P03,P03
39,20,5,3,0.4214951258554551,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4.506768052087751,272,4860,2,P02,P13,P13,P01,P04,P13
40,20,5,3,0.44899375389911456,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2.6906823360957963,135,4860,1,P12,P02,P04,P03,P03,P12
41,20,5,3,0.42057203844359703,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4.713769241064402,137,4860,3,P11,P05,P11,P05,P06,P11
42,20,5,3,0.3620702135615621,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2.8827401657514233,127,4860,2,P18,P18,P06,P03,P06,P18
43,20,5,3,0.4370460207887753,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2.7118182274228984,192,4860,1,P03,P03,P13,P13,P03,P01
44,20,5,3,0.5632147481571483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4.170440729008991,205,4860,2,P19,P19,P19,P19,P16,P16
45,20,5,3,0.5607141240653641,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3.576345534619419,159,4860,2,P12,P08,P12,P12,P12,P08
46,20,5,3,0.42862925504418625,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.9040303976066024,117,4860,1,P08,P03,P08,P01,P08,P01
47,20,5,3,0.4655792174013056,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.455131825427666,277,4860,0,P05,P01,P01,P03,P02,P05
48,20,5,3,0.513258355555521,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3.723861308824404,155,4860,2,P19,P07,P19,P19,P01,P19
49,20,5,3,0.560858711606689,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,3.9755622225064795,193,4860,2,P13,P13,P13,P10,P13,P13
50,20,5,3,0.5114856917627045,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3.931351422000391,177,4860,1,P18,P18,P18,P01,P18,P01
51,20,5,3,0.46591985878424147,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.703416100290252,165,4860,1,P09,P09,P09,P09,P09,P09
52,20,5,3,0.437742263055814,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.6199609850754206,171,4860,1,P06,P03,P04,P04,P06,P04
53,20,5,3,0.2943484630682106,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3.5331618800924898,136,4860,1,P06,P06,P01,P01,P05,P10
54,20,5,3,0.5150515004814744,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4.112774534410163,206,4860,1,P08,P08,P02,P01,P08,P08
55,20,5,3,0.5395977088335242,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3.559992627372846,141,4860,2,P14,P14,P14,P06,P14,P01
