Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus
0,5,5,3,0.048395752355466296,1,1,0,0,0,2,0.6531389223366344
1,5,5,3,0.10981832278777237,1,1,0,0,0,2,0.9437950609116774
2,5,5,3,0.042508999661059775,1,0,0,0,0,1,0.6500852005773852
3,5,5,3,0.15842680465458875,1,1,1,0,0,3,1.584588740041292
4,5,5,3,0.063804663757714,1,0,0,0,0,1,0.8784374386891073
5,5,5,3,0.17047867086375745,1,1,0,0,0,2,1.1676076688494168
6,5,5,3,0.053816929835039023,1,0,0,0,0,1,0.6531713302719016
7,5,5,3,0.20473414575756607,1,1,1,0,0,3,1.786268706762923
8,5,5,3,0.042480765893063266,1,0,0,0,0,1,0.6469198639571642
9,5,5,3,0.12514987791586474,1,1,0,0,0,2,0.9596500265646369
10,5,5,3,0.23107129224670928,1,1,1,0,0,3,1.4398356574230544
11,5,5,3,0.07102636613368943,1,1,0,0,0,2,0.7548030843842268
12,5,5,3,0.06382177550714291,1,1,0,0,0,2,0.7821315450968671
13,5,5,3,0.07617414720346022,1,1,0,0,0,2,0.8939556735946053
14,5,5,3,0.11230171096065082,1,1,0,0,0,2,0.8663542943898221
15,5,5,3,0.09504330211114723,1,1,1,0,0,3,1.4512534448950776
16,5,5,3,0.014483773071545417,1,0,0,0,0,1,0.5989752942457099
17,5,5,3,0.11644821153002208,1,1,0,0,0,2,0.9383335151847052
18,5,5,3,0.24642445443745845,1,1,0,0,0,2,2.2370393174075005
19,5,5,3,0.1899998634318453,1,1,0,0,0,2,1.3100383337678916
20,5,5,3,0.1426206966347069,1,1,0,0,0,2,0.9180348545879549
21,5,5,3,0.05502087348247125,1,0,0,0,0,1,0.6644523923530075
22,5,5,3,0.13464641023312962,1,1,0,0,0,2,0.9764173348711744
23,5,5,3,0.19101283486641957,1,1,0,0,0,2,1.1035826410601777
24,5,5,3,0.22694478756846775,1,1,1,0,0,3,1.5383007337716426
25,5,5,3,0.12614253787365473,1,1,1,0,0,3,1.0106146631473973
26,5,5,3,0.17899297242654352,1,1,0,0,0,2,1.1220550510270013
27,5,5,3,0.05674853714676588,1,1,0,0,0,2,1.0296596387009231
28,5,5,3,0.08982304572534099,1,1,0,0,0,2,0.9275314091023963
29,5,5,3,0.029359323012032215,1,0,0,0,0,1,0.6613970340437378
30,5,5,3,0.14094873028522745,1,1,0,0,0,2,1.171460127444797
31,5,5,3,0.005347703701278125,1,0,0,0,0,1,0.583521828296419
32,5,5,3,0.27967430587140446,1,1,1,0,0,3,1.3925898882951464
33,5,5,3,0.10010176636867368,1,1,0,0,0,2,1.0015444317927098
34,5,5,3,0.257959504802502,1,1,0,0,0,2,1.0458198013080275
35,5,5,3,0.06028106925937103,1,0,0,0,0,1,0.7096206686730173
36,5,5,3,0.056145678301116546,1,0,0,0,0,1,0.7245419370342046
37,5,5,3,0.1774496477575826,1,1,0,0,0,2,0.9992876923337851
38,5,5,3,0.1540833062476934,1,1,0,0,0,2,1.0117603732861022
39,5,5,3,0.17041244357964294,1,1,0,0,0,2,0.9653738284910045
40,5,5,3,0.12920476342934184,1,1,0,0,0,2,1.025420243515328
41,5,5,3,0.13717790430493415,1,1,1,0,0,3,1.0587008641300386
42,5,5,3,0.11938870766920234,1,1,0,0,0,2,1.1702085335087598
43,5,5,3,0.09626025054526927,1,0,0,0,0,1,0.8816364812681905
44,5,5,3,0.10207810835352521,1,1,1,0,0,3,1.1562026190219372
45,5,5,3,0.16825348416867822,1,1,1,0,0,3,1.3529653311473553
46,5,5,3,0.10375989327203934,1,1,0,0,0,2,0.7914985454870593
47,5,5,3,0.09280488476040721,1,1,1,0,0,3,1.5395294394135295
48,5,5,3,0.030294296421388332,1,0,0,0,0,1,0.6217827061009364
49,5,5,3,0.10332333371448828,1,1,1,0,0,3,2.7882218309690407
50,5,5,3,0.03803210444729142,1,0,0,0,0,1,0.6722051441479051
51,5,5,3,0.11263533765988867,1,0,0,0,0,1,0.7979598565455126
52,5,5,3,0.20201746233772933,1,1,0,0,0,2,1.1669736955062564
53,5,5,3,0.13014951937735564,1,1,0,0,0,2,1.35492152376399
54,5,5,3,0.09851758630724142,1,1,0,0,0,2,0.8219827202867598
