Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus
0,10,5,3,0.2107166305582175,1,1,1,0,0,0,0,0,0,0,3,1.079994760217325
1,10,5,3,0.3145807165279282,1,1,1,0,0,0,0,0,0,0,3,2.4041750089262206
2,10,5,3,0.051938822085135374,1,0,0,0,0,0,0,0,0,0,1,0.6878148119062213
3,10,5,3,0.0769781669603511,1,1,1,0,0,0,0,0,0,0,3,0.8514391307011941
4,10,5,3,0.22151237802730553,1,1,0,0,0,0,0,0,0,0,2,0.984266809271294
5,10,5,3,0.16257396329052745,1,1,0,0,0,0,0,0,0,0,2,1.2299489201862084
6,10,5,3,0.1728883482361006,1,1,0,0,0,0,0,0,0,0,2,0.8681534202474274
7,10,5,3,0.1887214860843577,1,1,1,0,0,0,0,0,0,0,3,2.3273421508451904
8,10,5,3,0.2780039737090665,1,1,1,1,0,0,0,0,0,0,4,2.1209910446435445
9,10,5,3,0.11921765900312414,1,1,0,0,0,0,0,0,0,0,2,0.8884899743173377
10,10,5,3,0.30094613931083747,1,1,1,1,1,0,0,0,0,0,5,1.847957743183895
11,10,5,3,0.14371783790103632,1,1,0,0,0,0,0,0,0,0,2,0.9165706888823195
12,10,5,3,0.23014438027170445,1,1,1,1,0,0,0,0,0,0,4,1.2493219251336185
13,10,5,3,0.17523641016053798,1,1,0,0,0,0,0,0,0,0,2,1.0586100118182877
14,10,5,3,0.19364972228897004,1,1,1,0,0,0,0,0,0,0,3,1.4420586886551319
15,10,5,3,0.08674255514469842,1,1,0,0,0,0,0,0,0,0,2,0.7474643707933504
16,10,5,3,0.34355154057576115,1,1,0,0,0,0,0,0,0,0,2,1.4763427664634525
17,10,5,3,0.249989737922928,1,1,1,1,1,0,0,0,0,0,5,2.045608408786934
18,10,5,3,0.06522536304227916,1,0,0,0,0,0,0,0,0,0,1,0.6717641841775359
19,10,5,3,0.1637922545422458,1,1,1,0,0,0,0,0,0,0,3,0.9046716340279635
20,10,5,3,0.08916168401921053,1,0,0,0,0,0,0,0,0,0,1,0.7575030142440115
21,10,5,3,0.0819200863621138,1,0,0,0,0,0,0,0,0,0,1,0.8297854169475066
22,10,5,3,0.12826717761331013,1,1,0,0,0,0,0,0,0,0,2,1.0094626193991871
23,10,5,3,0.1507968278480227,1,1,0,0,0,0,0,0,0,0,2,0.856717594443865
24,10,5,3,0.1426249971352378,1,1,1,0,0,0,0,0,0,0,3,1.0060784144185948
25,10,5,3,0.22646132448416695,1,1,1,1,1,0,0,0,0,0,5,1.8376361694007897
26,10,5,3,0.14103792918167318,1,1,0,0,0,0,0,0,0,0,2,0.9953500446057851
27,10,5,3,0.06050911352575705,1,0,0,0,0,0,0,0,0,0,1,0.6965285134891152
28,10,5,3,0.15597275036941333,1,1,1,1,0,0,0,0,0,0,4,0.9691940883214787
29,10,5,3,0.19800966174711138,1,1,0,0,0,0,0,0,0,0,2,1.212064260706207
30,10,5,3,0.014276258093602301,1,0,0,0,0,0,0,0,0,0,1,0.6034326907928095
31,10,5,3,0.07155951240893624,1,1,1,0,0,0,0,0,0,0,3,0.7230000466853533
32,10,5,3,0.04663383918760181,1,0,0,0,0,0,0,0,0,0,1,0.6713832118167139
33,10,5,3,0.17097362801663402,1,1,1,1,0,0,0,0,0,0,4,1.0781018850465465
34,10,5,3,0.10740858425971787,1,0,0,0,0,0,0,0,0,0,1,0.8262858735549846
35,10,5,3,0.13827664120614627,1,1,1,0,0,0,0,0,0,0,3,0.9754804720037031
36,10,5,3,0.1086088149731225,1,1,0,0,0,0,0,0,0,0,2,0.8700050093553295
37,10,5,3,0.10690139229812888,1,1,0,0,0,0,0,0,0,0,2,0.7973490357090779
38,10,5,3,0.24874580928681483,1,1,0,0,0,0,0,0,0,0,2,1.1493118127461188
39,10,5,3,0.015493786985079841,1,0,0,0,0,0,0,0,0,0,1,0.5985042613971447
40,10,5,3,0.07046457465468245,1,0,0,0,0,0,0,0,0,0,1,0.7155779568671768
41,10,5,3,0.25483760201444944,1,1,1,0,0,0,0,0,0,0,3,1.700176385748485
42,10,5,3,0.13683477072674483,1,1,0,0,0,0,0,0,0,0,2,0.9629095407277889
43,10,5,3,0.19859947178507564,1,1,1,1,0,0,0,0,0,0,4,1.8508056698347732
44,10,5,3,0.2035444978232132,1,1,1,1,0,0,0,0,0,0,4,1.6692352129647197
45,10,5,3,0.22919812770039052,1,1,0,0,0,0,0,0,0,0,2,1.1202762472612882
46,10,5,3,0.25963362809095203,1,1,1,1,0,0,0,0,0,0,4,1.6239724951790735
47,10,5,3,0.24930274214266487,1,1,1,1,0,0,0,0,0,0,4,1.9338589314140417
48,10,5,3,0.1383807196237487,1,1,1,0,0,0,0,0,0,0,3,0.9615160525085483
49,10,5,3,0.11310266005675854,1,1,0,0,0,0,0,0,0,0,2,0.8477779126309963
50,10,5,3,0.2751224182337437,1,1,1,0,0,0,0,0,0,0,3,1.52371941364571
51,10,5,3,0.19308004738878481,1,1,1,0,0,0,0,0,0,0,3,1.2336410836792975
52,10,5,3,0.2782163501815038,1,1,1,0,0,0,0,0,0,0,3,1.3728969934947286
53,10,5,3,0.2694981098268065,1,1,0,0,0,0,0,0,0,0,2,1.5892715309825336
