Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus
0,20,1,3,0.23238798274354872,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.519902944324115
1,20,1,3,0.17953794423685343,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.726244336632127
2,20,1,3,0.20179955316762274,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.8905567146350428
3,20,1,3,0.18568571743621276,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.745403216831705
4,20,1,3,0.2488805566668896,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.354637131309242
5,20,1,3,0.23864724034674914,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.631796243417039
6,20,1,3,0.21870653966309456,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.4993913453489283
7,20,1,3,0.20760933223415448,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.436008860425798
8,20,1,3,0.216521170746659,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.5366336482664544
9,20,1,3,0.28780796387916174,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.4599443228142257
10,20,1,3,0.21663594437296135,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.2943352192217754
11,20,1,3,0.20877580217660263,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.560832274605033
12,20,1,3,0.21120927069266857,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.7435528283667172
13,20,1,3,0.22020315577233646,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6562422385459539
14,20,1,3,0.19331812028602563,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.201073999759234
15,20,1,3,0.20264292057209754,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3189466344207077
16,20,1,3,0.18520457278791153,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.2534518421959242
17,20,1,3,0.16898630507165052,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3332784862607392
18,20,1,3,0.15043093736059457,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.356691537459776
19,20,1,3,0.20898083303068932,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.652239235741522
20,20,1,3,0.20827854161211717,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.785689385492002
21,20,1,3,0.19081216698196596,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.8046458235353184
22,20,1,3,0.19258569476810447,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.8333821811293904
23,20,1,3,0.1929182350825625,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6208902598101744
24,20,1,3,0.2561375044920735,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.9632099501557456
25,20,1,3,0.2514246540905323,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.4273538226560514
26,20,1,3,0.24898962051238077,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.3391835638425205
27,20,1,3,0.21994489073265366,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6943233839628986
28,20,1,3,0.23890537708497672,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.4371194429115155
29,20,1,3,0.19180560987199471,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.4366936999410518
30,20,1,3,0.21893647774055267,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6765262314069433
31,20,1,3,0.20461621948223163,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.7130167161363143
32,20,1,3,0.2300025305519069,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.5090400743052552
33,20,1,3,0.286342257058536,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.5318129865476608
34,20,1,3,0.2537662987100554,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6735119473030724
35,20,1,3,0.22648468008959816,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.7509949575119608
36,20,1,3,0.18022045030115305,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3561071284024893
37,20,1,3,0.2507395477356743,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.3134483056501594
38,20,1,3,0.17422663898306673,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6869574742892581
39,20,1,3,0.2400896841748858,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.7243957090383013
40,20,1,3,0.2131424281959867,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.5390716721964464
41,20,1,3,0.24971078885887793,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6033554789903146
42,20,1,3,0.1860761727917731,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.3409666091239234
43,20,1,3,0.21643411692201628,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,2.039006690811802
44,20,1,3,0.16283959685266317,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.3859662765196186
45,20,1,3,0.21202501298678084,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.8674104273211878
46,20,1,3,0.23734378671283207,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.459078894536162
47,20,1,3,0.22882078615071394,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6070325280291509
48,20,1,3,0.2352204118856236,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6428685964547456
49,20,1,3,0.23688654836017206,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6541624635941297
50,20,1,3,0.17808277172821646,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.4963414877806505
51,20,1,3,0.24337196502799424,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.9436159406721805
52,20,1,3,0.2189241296739293,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.7860356630129761
53,20,1,3,0.23381672875717383,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.49269408603391
54,20,1,3,0.24502393108886383,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8189130713091246
55,20,1,3,0.17368029121263648,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3766842830519792
56,20,1,3,0.24045662312484792,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.321273909208215
57,20,1,3,0.18673987737029582,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0720332128873125
58,20,1,3,0.26616529205294476,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.300764350964333
59,20,1,3,0.2273336347101272,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.4287560932137129
60,20,1,3,0.23957184408757945,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.4892713512617473
61,20,1,3,0.17552105364706017,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.4130315634461748
62,20,1,3,0.22878598193376148,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.2505410949142708
63,20,1,3,0.16131228251353297,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.0130429257051805
64,20,1,3,0.23537646219164982,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5930289640036017
65,20,1,3,0.23929891064727407,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.450044690641938
66,20,1,3,0.1589789875134475,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.302654796287436
67,20,1,3,0.2642961488995126,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6019415112037207
68,20,1,3,0.23467259161921444,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6754264932772402
69,20,1,3,0.2211940743180189,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.3933973454051158
70,20,1,3,0.23034580366796698,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.2985221963178613
71,20,1,3,0.30188130449366013,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6578055847894628
72,20,1,3,0.17132217456537482,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.3178004377881907
73,20,1,3,0.2430107702265795,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6232174204731589
74,20,1,3,0.22676473747803177,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.8284108803387569
75,20,1,3,0.17770453582506487,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.4101516290379545
76,20,1,3,0.18584592685854673,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.139728971570444
77,20,1,3,0.22574159695997764,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.204859944432622
78,20,1,3,0.18131799908411395,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.2545346996548639
79,20,1,3,0.27079846797253443,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.7350320130898194
80,20,1,3,0.24577757424040553,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6517223803611634
81,20,1,3,0.21691319591394662,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.5008412019206065
82,20,1,3,0.19115629028013986,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.818765704643678
83,20,1,3,0.23735398543363526,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6088875332171169
84,20,1,3,0.2277080902119496,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.0108696850105914
85,20,1,3,0.15559615206864252,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.029269819751733
86,20,1,3,0.17698392579445044,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.3621720118660596
87,20,1,3,0.2726684235684472,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6451739180971923
88,20,1,3,0.2163605105467574,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8277373349521824
89,20,1,3,0.23353867756464364,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.610751003610769
