Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,5,1,3,0.18674465974135304,1,1,1,1,0,4,1.4265910361507896,7,15,0,P04,P04
1,5,1,3,0.1139012330673201,1,1,0,1,0,3,1.4072603621754793,7,15,1,P04,P04
2,5,1,3,0.04080512982017778,1,1,0,0,0,2,0.8405077395823872,5,15,0,P01,P01
3,5,1,3,0.18869340546258856,1,1,1,0,0,3,1.3044065828501372,8,15,0,P03,P02
4,5,1,3,0.14242892338290902,1,1,1,1,0,4,1.238121702973514,5,15,0,P03,P03
5,5,1,3,0.15509694526321427,1,1,1,0,0,3,1.402856117736381,6,15,0,P02,P01
6,5,1,3,0.073871369699437,1,1,1,0,0,3,0.889767219466661,7,15,0,P03,P03
7,5,1,3,0.06806723278155669,1,1,1,0,0,3,1.3475824157211105,7,15,0,P03,P02
8,5,1,3,0.07119272139791745,1,1,1,1,0,4,1.0440565409949407,5,15,0,P04,P01
9,5,1,3,0.0851795816647252,1,1,1,1,0,4,1.3529707157399393,6,15,0,P02,P02
10,5,1,3,0.09970010266626196,1,1,1,1,0,4,1.0891742506469257,6,15,0,P04,P01
11,5,1,3,0.08723815126129862,1,1,1,1,0,4,1.1447788711710225,5,15,0,P03,P01
12,5,1,3,0.1054832337677351,1,1,1,1,0,4,1.267684432318633,6,15,0,P04,P03
13,5,1,3,0.09547565204198091,1,1,1,1,0,4,1.1165945415948126,6,15,0,P04,P02
14,5,1,3,0.1917443626021135,1,1,1,0,0,3,2.111522113530076,7,15,0,P03,P01
15,5,1,3,0.1396668812991424,1,1,1,1,0,4,1.2599698972026618,7,15,0,P03,P04
16,5,1,3,0.11273287090554536,1,1,1,1,0,4,1.2041924709066576,6,15,0,P03,P01
17,5,1,3,0.16640793554947847,1,1,1,0,0,3,1.1848452994539942,9,15,0,P01,P01
18,5,1,3,0.17209213297857148,1,1,1,0,0,3,1.2457716666599739,6,15,0,P03,P01
19,5,1,3,0.1998918345407199,1,1,1,0,0,3,1.2454007435543262,6,15,0,P03,P03
20,5,1,3,0.1312737408142313,1,1,1,0,0,3,0.9965727382085143,7,15,0,P02,P03
21,5,1,3,0.07535578298933573,1,1,1,1,0,4,1.1788718349553946,5,15,0,P04,P04
22,5,1,3,0.14808135219091306,1,1,1,0,0,3,1.9260722311785385,8,15,0,P03,P01
23,5,1,3,0.08571206338472541,1,1,1,0,0,3,1.3703637784031382,5,15,0,P01,P01
24,5,1,3,0.10682245145608257,1,1,1,1,0,4,1.420583238198709,7,15,0,P04,P02
25,5,1,3,0.08165423056952009,1,1,1,0,0,3,0.884657147321692,6,15,0,P03,P01
26,5,1,3,0.07049210274195634,1,1,1,1,1,5,3.5097570006040315,5,15,0,P05,P05
27,5,1,3,0.13259547813749661,1,1,1,0,0,3,1.0480638885953764,6,15,0,P03,P03
28,5,1,3,0.11839792309832553,1,1,1,1,0,4,1.2448906790100094,5,15,0,P03,P03
29,5,1,3,0.10651216555964281,1,1,1,1,0,4,1.152790755291022,5,15,0,P04,P02
30,5,1,3,0.1490266269435424,1,1,1,0,0,3,1.0510715190092141,5,15,0,P02,P02
31,5,1,3,0.11614790228551504,1,1,1,1,0,4,1.2738015449796398,5,15,0,P04,P04
32,5,1,3,0.14747416824114412,1,1,1,1,0,4,1.3704260968222945,6,15,0,P04,P04
33,5,1,3,0.15266892842514962,1,1,1,0,0,3,1.0298762709954037,5,15,0,P03,P01
34,5,1,3,0.11165626570299113,1,1,1,1,0,4,1.4835628473460494,6,15,0,P04,P03
35,5,1,3,0.09760491565815027,1,1,1,0,0,3,1.0618123984490149,5,15,0,P03,P03
36,5,1,3,0.09653350116771393,1,1,0,0,0,2,0.8206887031715782,5,15,0,P01,P01
37,5,1,3,0.06105153273958161,1,1,1,1,0,4,1.1734009042763722,7,15,0,P04,P04
38,5,1,3,0.19228043854963192,1,1,1,0,0,3,1.411003402863479,8,15,0,P01,P03
39,5,1,3,0.11163210801688059,1,1,1,0,0,3,1.1968416914031417,7,15,0,P03,P03
40,5,1,3,0.16057781099776858,1,1,1,1,0,4,1.429124237169912,6,15,0,P04,P04
41,5,1,3,0.11674607973413921,1,1,1,1,0,4,1.2319098091144434,5,15,0,P03,P03
42,5,1,3,0.11695352695334095,1,1,1,0,0,3,1.051898558577122,6,15,0,P02,P02
43,5,1,3,0.13023286512644616,1,1,1,1,0,4,1.2978847455686573,7,15,0,P04,P04
44,5,1,3,0.09551661932284489,1,1,1,1,0,4,1.277090517559148,7,15,0,P04,P04
45,5,1,3,0.0794810082308042,1,1,1,0,0,3,0.8553723107688875,7,15,0,P03,P03
46,5,1,3,0.12115137614228434,1,1,1,1,0,4,1.6921170890828767,8,15,0,P03,P04
47,5,1,3,0.10365038274693948,1,0,1,0,0,2,0.8028927843714274,6,15,1,P01,P01
48,5,1,3,0.14181028336866208,1,1,1,1,0,4,1.5412471110960069,6,15,0,P03,P04
49,5,1,3,0.07759173983378626,1,1,1,1,0,4,1.9408826449592906,7,15,0,P04,P04
50,5,1,3,0.15146353187664663,1,1,1,1,0,4,1.5243648545228856,7,15,0,P04,P04
51,5,1,3,0.104899048119671,1,1,1,1,0,4,1.3055949846146788,5,15,0,P03,P03
52,5,1,3,0.16662021234173927,1,1,1,0,0,3,1.3535906580637862,6,15,0,P03,P03
53,5,1,3,0.060146534537313404,1,1,1,1,0,4,1.377728918562302,8,15,0,P03,P01
54,5,1,3,0.21711452136049902,1,1,0,0,0,2,1.4071040043491303,7,15,0,P02,P01
55,5,1,3,0.1170225272455396,1,1,1,0,0,3,0.9715884967448947,5,15,0,P02,P01
56,5,1,3,0.07413066252318481,1,1,1,1,0,4,1.1259505288691,6,15,0,P03,P01
57,5,1,3,0.0683990218702241,1,1,1,1,0,4,1.2616328820352471,6,15,0,P03,P04
58,5,1,3,0.05634598685615226,1,1,1,0,0,3,1.0159577609792585,6,15,0,P03,P01
59,5,1,3,0.18248393900154658,1,1,0,0,0,2,1.1413594798728461,7,15,0,P02,P01
60,5,1,3,0.12200760427325304,1,1,1,1,0,4,1.529024320997455,8,15,0,P03,P01
61,5,1,3,0.12230828860860841,1,1,1,1,0,4,1.4635445125503592,6,15,0,P04,P02
62,5,1,3,0.10255376953645085,1,1,1,0,0,3,1.2569454515378995,6,15,0,P03,P03
63,5,1,3,0.13838173392465097,1,1,1,0,0,3,1.0374612727633568,7,15,0,P02,P02
64,5,1,3,0.07310092116458031,1,1,1,1,0,4,1.4571270689296587,6,15,0,P04,P04
65,5,1,3,0.12783501061467614,1,1,1,0,0,3,1.137202935257045,7,15,0,P02,P02
66,5,1,3,0.13958327740937224,1,1,1,1,0,4,1.3469883893879162,6,15,0,P03,P03
67,5,1,3,0.12396769049502795,1,1,1,0,0,3,1.0692641189266796,6,15,0,P03,P03
68,5,1,3,0.11014387815686366,1,1,0,0,0,2,0.8751686199846365,5,15,0,P02,P02
69,5,1,3,0.09781377814464758,1,1,1,1,0,4,1.0111362721837287,5,15,0,P03,P01
70,5,1,3,0.12053737221508856,1,1,1,1,0,4,1.5324812854314396,7,15,0,P04,P04
71,5,1,3,0.17946569661584497,1,1,1,0,0,3,1.2064451111355343,6,15,0,P02,P02
72,5,1,3,0.08054234871686763,1,1,1,0,0,3,1.047758435096532,5,15,0,P01,P01
73,5,1,3,0.17918798394043495,1,1,1,1,0,4,1.357022518550968,5,15,0,P04,P04
74,5,1,3,0.08509231456365393,1,1,1,0,0,3,0.8169709345645793,5,15,0,P03,P02
75,5,1,3,0.13170779362948584,1,1,1,1,0,4,1.4316217243911913,7,15,0,P03,P02
76,5,1,3,0.15422866428696036,1,1,0,0,0,2,0.9417747876792988,8,15,0,P02,P02
77,5,1,3,0.09363997956636202,1,1,1,1,0,4,1.1212483794761439,5,15,0,P04,P04
78,5,1,3,0.16130986668717365,1,1,1,1,0,4,1.6072557129355287,6,15,0,P03,P03
79,5,1,3,0.09645992786431513,1,1,1,1,0,4,1.1898797413857012,5,15,0,P04,P04
80,5,1,3,0.0778111783895424,1,1,1,1,0,4,1.2093852657765471,6,15,0,P04,P01
81,5,1,3,0.13982305987092758,1,1,1,1,0,4,1.4035824649655866,5,15,0,P03,P03
82,5,1,3,0.10554596682790918,1,1,1,0,0,3,0.9011367212121748,5,15,0,P02,P02
83,5,1,3,0.1709477580035146,1,1,1,0,0,3,1.1639195913107634,5,15,0,P02,P02
