Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
0,5,5,3,0.21766915247629626,1,1,1,1,0,4,2.6605506221802577,9,1215,0,P03,P01,P03,P02,P04,P03
1,5,5,3,0.1884362638390003,1,1,1,0,0,3,1.3831071797381917,11,1215,0,P03,P01,P02,P02,P03,P03
2,5,5,3,0.10522157654145678,1,1,1,0,0,3,1.6372575166144716,9,1215,0,P03,P01,P03,P01,P03,P02
3,5,5,3,0.18248938567688808,1,1,1,0,0,3,1.7122299564997494,17,1215,0,P03,P02,P01,P03,P01,P03
4,5,5,3,0.20567965239056904,1,1,1,1,0,4,1.9536777963593646,7,1215,0,P04,P01,P03,P04,P01,P01
5,5,5,3,0.20866312248537044,1,1,1,0,0,3,1.341141304585581,12,1215,0,P02,P01,P02,P03,P02,P01
6,5,5,3,0.42385399259072515,1,1,1,0,0,3,3.2276810175629733,9,1215,0,P03,P03,P03,P01,P03,P02
7,5,5,3,0.2602429800400182,1,1,0,1,0,3,2.5267628943584697,13,1215,1,P04,P04,P02,P01,P04,P04
8,5,5,3,0.2752104384234084,1,1,1,0,0,3,2.4749069947571054,12,1215,0,P03,P03,P01,P01,P01,P03
9,5,5,3,0.3747915873602256,1,1,1,1,0,4,2.9071674471156586,10,1215,0,P04,P04,P03,P04,P01,P01
10,5,5,3,0.4254639606981736,1,1,1,0,0,3,4.477748905051945,9,1215,0,P03,P02,P03,P03,P03,P02
11,5,5,3,0.33397678010055276,1,1,0,1,0,3,3.4453793015901515,10,1215,1,P04,P02,P04,P02,P02,P04
12,5,5,3,0.2516777145513159,1,1,1,1,0,4,2.767828156617743,12,1215,0,P04,P01,P02,P04,P04,P02
13,5,5,3,0.2226302271113743,1,1,1,1,0,4,2.7038385851325466,9,1215,0,P04,P04,P04,P03,P01,P02
14,5,5,3,0.19761081482845227,1,1,0,1,0,3,1.5634134924174967,7,1215,1,P02,P02,P01,P02,P04,P02
15,5,5,3,0.26750665546020025,1,1,1,0,0,3,1.7637380009630363,9,1215,0,P03,P02,P03,P02,P02,P03
16,5,5,3,0.3939208729348054,1,0,1,0,0,2,1.485600053196647,12,1215,1,P03,P01,P03,P03,P03,P03
17,5,5,3,0.18536410821993426,1,1,1,1,0,4,2.7437401109403545,9,1215,0,P04,P04,P02,P02,P03,P04
18,5,5,3,0.15976932891889564,1,1,1,0,0,3,1.5318967632723883,10,1215,0,P02,P02,P02,P03,P02,P02
19,5,5,3,0.29662806432695193,1,0,0,1,0,2,2.22782534034966,9,1215,1,P04,P04,P04,P01,P04,P01
20,5,5,3,0.08349899758511095,1,1,1,0,0,3,1.3111304867931595,9,1215,0,P03,P01,P03,P01,P02,P03
21,5,5,3,0.13828805216137505,1,0,1,0,0,2,2.95849549015339,15,1215,1,P01,P01,P03,P03,P01,P03
22,5,5,3,0.27794323858712633,1,1,1,1,0,4,2.5914178986875425,8,1215,0,P04,P03,P01,P04,P03,P04
23,5,5,3,0.11158084652267641,1,1,1,0,0,3,0.933253634931799,14,1215,0,P03,P02,P01,P01,P03,P01
24,5,5,3,0.15489316162469827,1,1,1,0,0,3,1.829106786566026,11,1215,0,P02,P02,P01,P02,P02,P01
25,5,5,3,0.2674201584963239,1,1,1,0,0,3,4.573204861898664,12,1215,0,P03,P03,P01,P01,P01,P03
26,5,5,3,0.173863530957551,1,1,1,0,0,3,1.0813142087488656,9,1215,0,P02,P03,P01,P02,P02,P01
27,5,5,3,0.183324630971477,1,1,1,0,0,3,1.556418922039275,21,1215,0,P03,P01,P01,P02,P01,P03
28,5,5,3,0.3284785948769487,1,1,1,1,0,4,3.0375403312831275,11,1215,0,P04,P04,P04,P03,P02,P01
29,5,5,3,0.3634740755682317,1,0,0,1,0,2,1.6171345014482053,8,1215,1,P04,P04,P04,P04,P01,P04
30,5,5,3,0.25338270767782506,1,1,1,1,0,4,2.865049130996891,11,1215,0,P03,P04,P02,P03,P01,P03
31,5,5,3,0.21458989353401733,1,1,1,0,0,3,2.205236704316716,6,1215,0,P03,P03,P03,P01,P03,P03
32,5,5,3,0.14748968755006683,1,1,1,1,0,4,1.803407063905265,7,1215,0,P04,P04,P01,P01,P01,P01
33,5,5,3,0.16246077824810443,1,1,1,1,0,4,4.019489966590692,13,1215,0,P04,P01,P04,P01,P03,P01
34,5,5,3,0.1403962758825664,1,1,1,1,0,4,3.200516481377334,11,1215,0,P04,P01,P03,P04,P03,P04
35,5,5,3,0.20818883823251394,1,1,1,1,0,4,2.0427684475347947,8,1215,0,P04,P04,P04,P04,P04,P01
36,5,5,3,0.344880833909295,1,1,0,0,0,2,2.5438921605024074,15,1215,0,P02,P02,P02,P01,P02,P01
37,5,5,3,0.5582623675403398,1,1,0,0,0,2,2.2960592808876483,12,1215,0,P02,P01,P02,P02,P02,P01
38,5,5,3,0.16578310462436668,1,0,1,1,0,3,2.3915397243687404,12,1215,2,P03,P01,P01,P03,P04,P03
39,5,5,3,0.28859749926637457,1,1,1,0,0,3,2.012939856373353,8,1215,0,P02,P01,P02,P03,P03,P02
