Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,10,1,3,0.14946082401901953,1,1,1,1,1,1,0,0,0,0,6,1.3156624031241517,13,30,0,P05,P06
1,10,1,3,0.13388959991747562,1,1,1,1,1,1,0,0,0,0,6,1.301960454137084,13,30,0,P05,P01
2,10,1,3,0.3199868415238007,1,1,1,0,0,0,0,0,0,0,3,1.2930458198967671,13,30,0,P03,P03
3,10,1,3,0.1281208131300285,1,1,1,1,1,1,0,0,0,0,6,1.3662537409272455,12,30,0,P05,P05
4,10,1,3,0.11603174119767647,1,1,1,1,1,0,0,0,0,0,5,1.2276766104846875,16,30,0,P04,P02
5,10,1,3,0.1815175430293289,1,1,1,0,1,0,0,0,0,0,4,1.2637981574876784,13,30,1,P02,P05
6,10,1,3,0.20564108672471634,1,1,1,1,1,1,0,0,0,0,6,1.4310028897481901,15,30,0,P06,P06
7,10,1,3,0.16460087446821764,1,1,1,1,1,0,0,0,1,0,6,1.845528248954862,12,30,1,P09,P09
8,10,1,3,0.16554568012977153,1,1,1,1,1,0,0,0,0,0,5,1.3492139126273641,15,30,0,P04,P04
9,10,1,3,0.26094400742158025,1,1,1,0,0,0,0,0,0,0,3,1.6414623889513176,15,30,0,P03,P03
10,10,1,3,0.2073623514391407,1,1,1,0,0,0,0,0,0,0,3,1.1363076122813425,13,30,0,P03,P03
11,10,1,3,0.09516192676096956,1,1,1,1,1,1,0,0,0,0,6,1.0279158994859299,14,30,0,P05,P05
12,10,1,3,0.13615348181109171,1,1,1,1,1,1,0,0,0,0,6,1.5787923512593127,16,30,0,P05,P06
13,10,1,3,0.10464221821825131,1,1,1,1,1,1,1,0,0,0,7,2.478000683056892,17,30,0,P07,P05
14,10,1,3,0.1616394152384521,1,1,1,1,1,0,0,0,0,0,5,1.2559044624494007,15,30,0,P04,P04
15,10,1,3,0.15023130836368437,1,1,1,0,0,1,0,0,0,0,4,0.9982608023368486,13,30,1,P03,P03
16,10,1,3,0.20671533691790853,1,1,1,1,1,0,0,1,0,0,6,2.3247294232875833,14,30,1,P08,P08
17,10,1,3,0.1172132799927058,1,1,1,1,1,1,1,1,1,0,9,1.8834471817124956,12,30,0,P09,P09
18,10,1,3,0.25258204267984397,1,1,1,1,1,0,0,0,0,0,5,1.5464985427108993,14,30,0,P05,P05
19,10,1,3,0.217941009619976,1,1,0,0,1,0,1,0,0,0,4,1.2848325021155247,13,30,2,P07,P07
20,10,1,3,0.11571061280889375,1,1,1,1,1,1,1,0,0,0,7,2.011276796862552,15,30,0,P05,P05
21,10,1,3,0.12194237500958019,1,1,1,1,1,0,0,0,0,0,5,1.0548615671273875,13,30,0,P05,P02
22,10,1,3,0.21009671310967354,1,1,1,0,0,0,0,0,0,0,3,1.5290953740576607,20,30,0,P03,P02
23,10,1,3,0.2214000399274814,1,1,1,0,0,0,0,0,0,0,3,1.0594095390980314,15,30,0,P02,P02
24,10,1,3,0.20191025463554943,1,1,1,1,0,0,1,0,0,0,5,1.6980248146392616,17,30,1,P04,P07
25,10,1,3,0.23874983904732516,1,1,1,1,1,0,1,0,0,0,6,1.5649628420406634,13,30,1,P07,P07
26,10,1,3,0.23414990107869893,1,1,1,1,0,0,0,1,0,0,5,1.9756371469575758,15,30,1,P08,P08
