Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
0,10,3,3,0.3592384735639976,1,1,0,0,0,0,1,0,0,0,3,2.1218800515106375,23,270,1,P01,P07,P07,P07
1,10,3,3,0.23324294604485468,1,1,1,1,0,1,0,0,0,0,5,3.0004973136293334,32,270,1,P03,P04,P02,P06
2,10,3,3,0.25164321764408704,1,1,1,0,0,0,1,0,0,0,4,2.541956976998896,33,270,1,P03,P03,P01,P07
3,10,3,3,0.2658097767277361,1,1,1,1,0,0,0,0,1,0,5,2.0693287120758432,16,270,1,P09,P09,P09,P03
4,10,3,3,0.2721928719679306,1,0,0,1,0,0,0,0,0,0,2,1.6237826337811976,17,270,1,P04,P04,P04,P04
5,10,3,3,0.2026555320852198,1,1,1,1,0,0,0,0,0,0,4,1.701507854022422,17,270,0,P04,P01,P01,P01
6,10,3,3,0.1840440406070912,1,1,1,1,0,0,1,0,0,0,5,2.0023659740172417,18,270,1,P03,P07,P02,P07
7,10,3,3,0.3222399932328268,1,1,1,1,0,0,0,0,0,0,4,2.600623226169708,23,270,0,P04,P04,P03,P04
8,10,3,3,0.3855819975224835,1,1,1,0,0,0,0,1,0,0,4,2.6065573492247283,24,270,1,P08,P03,P08,P08
9,10,3,3,0.24060395322966088,1,1,1,1,1,1,0,0,0,0,6,2.496127560005342,36,270,0,P05,P06,P03,P05
10,10,3,3,0.35076882214575744,1,1,1,0,0,0,0,0,1,0,4,2.457377771364321,19,270,1,P09,P09,P09,P09
11,10,3,3,0.2517018453787029,1,1,1,0,0,1,1,0,0,0,5,2.5810952470814517,24,270,2,P01,P07,P06,P07
12,10,3,3,0.3623667538097175,1,1,1,1,0,1,0,0,0,0,5,1.952927484194655,22,270,1,P06,P01,P03,P06
13,10,3,3,0.21425346053260086,1,1,1,1,1,0,0,0,0,0,5,2.426112349920136,27,270,0,P05,P02,P05,P03
14,10,3,3,0.37529492136167947,1,1,0,0,0,1,0,0,0,0,3,2.346732567019109,33,270,1,P06,P02,P02,P06
