Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
0,10,5,3,0.28573759863605974,1,1,1,1,1,0,0,0,0,0,5,2.6344297564454187,43,2430,0,P02,P02,P01,P04,P01,P02
1,10,5,3,0.4600431158817223,1,1,0,0,1,0,0,0,0,0,3,2.472607869040868,57,2430,1,P05,P05,P05,P05,P02,P01
2,10,5,3,0.28668223677649396,1,1,0,1,0,0,1,0,0,0,4,2.031669593971844,51,2430,2,P02,P02,P01,P04,P04,P07
3,10,5,3,0.3146104026286028,1,1,1,0,0,0,0,1,0,0,4,2.4210756352420035,33,2430,1,P08,P01,P01,P01,P01,P08
4,10,5,3,0.41528103511278286,1,0,1,0,1,0,0,0,0,0,3,2.798673264213119,55,2430,2,P05,P05,P05,P05,P03,P01
5,10,5,3,0.47710219872624593,1,0,0,1,0,1,0,0,0,0,3,4.688653640136117,57,2430,2,P06,P06,P04,P04,P06,P06
6,10,5,3,0.1643582965549881,1,1,1,1,1,0,0,0,0,0,5,3.1685708826984555,52,2430,0,P05,P02,P03,P02,P05,P05
7,10,5,3,0.5198221649679352,1,1,0,0,1,0,0,0,0,0,3,4.138115206151356,27,2430,1,P02,P02,P01,P02,P02,P05
8,10,5,3,0.3687632618524575,1,1,0,0,0,0,1,0,0,0,3,2.4944566907665404,37,2430,1,P02,P07,P01,P01,P07,P02
9,10,5,3,0.48717383887621774,1,1,0,0,0,0,0,0,1,0,3,3.2689369525749674,37,2430,1,P09,P09,P09,P09,P09,P09
10,10,5,3,0.4254455225794049,1,1,1,1,0,0,0,0,0,0,4,2.4743155952283544,27,2430,0,P04,P04,P04,P04,P04,P01
11,10,5,3,0.3093296556828961,1,1,1,0,1,0,0,0,0,0,4,2.9449587661489054,57,2430,1,P05,P02,P02,P01,P05,P03
12,10,5,3,0.3303928321293363,1,1,1,0,0,0,0,0,0,0,3,3.5371288500127567,44,2430,0,P02,P02,P02,P03,P02,P01
13,10,5,3,0.6267579653456711,1,0,1,0,0,0,0,0,1,0,3,4.818629481948879,47,2430,2,P09,P03,P09,P09,P03,P09
14,10,5,3,0.3172624328956453,1,1,1,1,0,1,0,0,0,0,5,3.4512859924630432,36,2430,1,P06,P06,P02,P06,P04,P06
15,10,5,3,0.4553224648699823,1,1,1,0,1,0,1,0,0,0,5,2.8185080493029995,37,2430,2,P05,P05,P07,P01,P07,P05
16,10,5,3,0.23761894252157578,1,1,1,1,1,1,0,0,0,0,6,2.4499989249301484,38,2430,0,P05,P01,P06,P02,P03,P05
17,10,5,3,0.4810617885586077,1,1,1,0,0,1,0,0,0,0,4,2.6209866931502424,41,2430,1,P06,P01,P01,P03,P06,P03
18,10,5,3,0.31761116777817294,1,1,1,0,0,0,1,0,0,0,4,1.6620173208139821,28,2430,1,P07,P07,P07,P01,P01,P07
19,10,5,3,0.32886793748627074,1,0,0,0,0,0,0,1,0,0,2,2.9404253598318797,35,2430,1,P08,P08,P08,P08,P08,P08
20,10,5,3,0.4425528855262679,1,1,0,0,1,0,0,0,0,0,3,3.9353121173920167,50,2430,1,P05,P02,P05,P05,P05,P02
21,10,5,3,0.28721998551150263,1,1,1,1,1,0,0,0,0,0,5,2.275322945362792,36,2430,0,P01,P01,P01,P03,P01,P01
22,10,5,3,0.47047912310107165,1,1,1,1,0,0,1,0,0,0,5,3.7652812488631104,40,2430,1,P07,P03,P07,P07,P01,P03
23,10,5,3,0.35800146691545204,1,1,1,1,1,0,0,0,0,0,5,3.180264668284929,36,2430,0,P05,P03,P03,P05,P02,P01
24,10,5,3,0.18625214275716193,1,1,1,1,0,0,0,0,1,0,5,2.927826736989419,43,2430,1,P09,P09,P09,P09,P01,P09
25,10,5,3,0.37168473342387587,1,1,1,1,0,0,0,1,0,0,5,3.660881004538026,27,2430,1,P08,P08,P08,P08,P08,P04
26,10,5,3,0.5710375261485141,1,1,0,0,0,0,0,0,1,0,3,3.5151976590745666,60,2430,1,P09,P09,P02,P09,P09,P01
27,10,5,3,0.3892289825360597,1,1,0,0,0,0,0,0,0,0,2,2.742812659873774,34,2430,0,P02,P02,P01,P01,P02,P01
28,10,5,3,0.3700638308517127,1,1,1,1,1,0,0,0,0,0,5,2.531035824444916,35,2430,0,P05,P05,P03,P05,P01,P05
29,10,5,3,0.34235038315817334,1,1,0,0,1,0,0,0,0,0,3,2.990230802488747,42,2430,1,P05,P05,P01,P05,P01,P05
30,10,5,3,0.47508706582793336,1,1,0,1,0,0,0,0,1,0,4,4.292917842343403,36,2430,2,P09,P04,P09,P04,P09,P09
