Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
0,20,3,3,0.34997975162276446,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3.628046012520969,87,540,2,P14,P05,P14,P14
1,20,3,3,0.4357515183198729,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0929203341993112,59,540,1,P07,P03,P07,P07
2,20,3,3,0.34018617126837836,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.081170813489516,64,540,0,P04,P04,P04,P03
3,20,3,3,0.29275648899875295,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.9526938333853336,112,540,0,P02,P03,P02,P05
4,20,3,3,0.42055862815832046,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2.904498052883881,74,540,2,P07,P07,P13,P13
5,20,3,3,0.2511460372767839,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,2.4088288566725797,78,540,2,P10,P10,P14,P01
6,20,3,3,0.35344775176245313,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.268445277179832,107,540,1,P04,P06,P04,P03
7,20,3,3,0.32961254012843116,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,2.556445374126897,64,540,2,P10,P06,P08,P10
8,20,3,3,0.33214532383350237,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.8421353189973884,83,540,0,P04,P02,P03,P02
9,20,3,3,0.305869086147295,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0885686388653353,94,540,1,P09,P09,P09,P01
10,20,3,3,0.30485186187660207,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2.453426932113952,67,540,1,P10,P05,P05,P10
11,20,3,3,0.37970348956354316,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.185509333524242,100,540,1,P06,P01,P06,P02
12,20,3,3,0.5058794452682046,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.118478466970858,72,540,1,P10,P10,P10,P10
13,20,3,3,0.41669616810124577,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2.0743642931832986,90,540,2,P09,P08,P02,P09
14,20,3,3,0.3556878751042759,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2.19460831508218,53,540,1,P13,P13,P13,P13
15,20,3,3,0.26387936711876514,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,2.590867041386706,98,540,2,P09,P01,P09,P16
16,20,3,3,0.5194380345693703,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4.248307796166439,82,540,1,P15,P15,P03,P15
17,20,3,3,0.315473717984839,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2.3967427336768887,79,540,1,P05,P05,P05,P10
18,20,3,3,0.35851888966795176,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2.488054542661208,70,540,1,P11,P02,P11,P03
19,20,3,3,0.4291512415250181,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3.1846326257465414,71,540,1,P15,P15,P15,P04
20,20,3,3,0.4260231731670875,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,2.8353355454981313,66,540,2,P11,P11,P14,P11
21,20,3,3,0.3931047042401803,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2.2708367976285735,62,540,1,P09,P03,P09,P09
22,20,3,3,0.3891296267278911,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2.55401992475037,68,540,1,P14,P14,P14,P02
23,20,3,3,0.24611602644863556,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.640720591221924,77,540,0,P04,P06,P04,P01
24,20,3,3,0.3459596452877977,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2.5740311823670683,110,540,2,P10,P06,P10,P02
25,20,3,3,0.46873582848519735,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.436355100909423,93,540,0,P05,P03,P05,P04
26,20,3,3,0.3101068180538108,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1.814559654967046,77,540,1,P10,P10,P10,P01
27,20,3,3,0.43433385731379803,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.002419570296417,94,540,0,P04,P02,P04,P03
28,20,3,3,0.48513219171478045,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3.1248038833079352,49,540,1,P15,P15,P15,P15
29,20,3,3,0.29656157050283066,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,2.8044553437102806,70,540,2,P04,P16,P14,P03
