Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus
0,10,1,3,0.13990525949890437,1,1,1,1,1,1,0,0,0,0,6,1.3077473104274193
1,10,1,3,0.14359431489142888,1,1,1,1,1,1,1,0,0,0,7,1.4315047030506034
2,10,1,3,0.21867489227483095,1,1,1,1,1,0,0,0,0,0,5,1.208627050658346
3,10,1,3,0.108414619243363,1,1,1,1,1,1,0,0,0,0,6,1.242596243870691
4,10,1,3,0.13335331424752603,1,1,1,1,1,0,0,0,0,0,5,1.4316735737893622
5,10,1,3,0.13290231697912153,1,1,1,1,1,1,0,0,0,0,6,1.3233636827121096
6,10,1,3,0.17255524274576414,1,1,1,1,1,1,0,0,0,0,6,1.275346352632044
7,10,1,3,0.1454926760144751,1,1,1,1,1,1,0,0,0,0,6,1.499374994673078
8,10,1,3,0.1312922301919899,1,1,1,1,1,1,1,1,0,0,8,1.6159039139144347
9,10,1,3,0.1613861501929856,1,1,1,1,1,1,0,0,0,0,6,1.2110556872475988
10,10,1,3,0.11880979580089907,1,1,1,1,1,1,0,0,0,0,6,1.383406331257707
11,10,1,3,0.09216962260289564,1,1,1,1,1,1,0,0,0,0,6,1.0276903368659767
12,10,1,3,0.1263472404197463,1,1,1,1,1,1,0,0,0,0,6,1.5364065772872864
13,10,1,3,0.08583311130394879,1,1,1,1,1,1,1,1,0,0,8,1.6895541969208843
14,10,1,3,0.1370368689891509,1,1,1,1,1,1,0,0,0,0,6,1.3591609386267487
15,10,1,3,0.11966439961009773,1,1,1,1,1,1,1,0,0,0,7,1.404491094271842
16,10,1,3,0.15531034497344204,1,1,1,1,1,0,0,0,0,0,5,1.3638894873886014
17,10,1,3,0.10312998548881631,1,1,1,1,1,1,0,0,0,0,6,1.0851614256298765
18,10,1,3,0.17021318929283774,1,1,1,1,1,1,1,0,0,0,7,1.4407402211254094
19,10,1,3,0.1879018768861851,1,1,1,1,1,1,1,0,0,0,7,1.4885032432227252
20,10,1,3,0.09857654161890582,1,1,1,1,1,1,1,0,0,0,7,1.5827656200613154
21,10,1,3,0.13943722271862583,1,1,1,1,1,0,0,0,0,0,5,1.1287887875206408
22,10,1,3,0.16335218147307126,1,1,1,1,1,0,0,0,0,0,5,1.3824123099016887
23,10,1,3,0.16534346896534766,1,1,1,1,1,1,1,0,0,0,7,1.3564845050822134
24,10,1,3,0.15633164637782493,1,1,1,1,1,0,0,0,0,0,5,1.3114732978744112
25,10,1,3,0.18759985768274126,1,1,1,1,1,1,1,0,0,0,7,1.5564741917357248
26,10,1,3,0.1372738698302038,1,1,1,1,1,0,0,0,0,0,5,1.3199136086514862
27,10,1,3,0.13244826240144264,1,1,1,1,1,0,0,0,0,0,5,1.3048037509239085
28,10,1,3,0.0831457522125234,1,1,1,1,1,0,0,0,0,0,5,0.9987572285709021
29,10,1,3,0.21666331394554172,1,1,1,1,1,1,0,0,0,0,6,1.6395881761573028
30,10,1,3,0.13395141227200305,1,1,1,1,1,1,1,0,0,0,7,1.559466019535369
31,10,1,3,0.0848015550953817,1,1,1,1,1,1,1,0,0,0,7,1.5767489056469484
32,10,1,3,0.16542828488701483,1,1,1,1,1,1,0,0,0,0,6,1.4579614599704236
33,10,1,3,0.14850611658777862,1,1,1,1,1,0,0,0,0,0,5,1.235545867606703
34,10,1,3,0.18946049935047118,1,1,1,1,1,0,0,0,0,0,5,1.225813262700481
35,10,1,3,0.13122177278637925,1,1,1,1,1,1,0,0,0,0,6,1.3552042176688568
36,10,1,3,0.08772534393480699,1,1,1,1,1,0,0,0,0,0,5,0.8519326395085252
37,10,1,3,0.1704376688698353,1,1,1,1,1,1,0,0,0,0,6,1.1889977084961134
38,10,1,3,0.1260160411780568,1,1,1,1,1,1,1,0,0,0,7,1.6107738996023753
39,10,1,3,0.1353235950661172,1,1,1,1,1,0,0,0,0,0,5,1.4410908843175945
40,10,1,3,0.10577957618671818,1,1,1,1,1,0,0,0,0,0,5,0.9587756460025785
41,10,1,3,0.08455081342515955,1,1,1,0,0,0,0,0,0,0,3,0.9685632922150638
42,10,1,3,0.09564854668520412,1,1,1,1,1,1,0,0,0,0,6,1.0647366876381488
43,10,1,3,0.19955351169396923,1,1,1,1,1,0,0,0,0,0,5,1.5611075112012256
44,10,1,3,0.13710220913707008,1,1,1,1,1,1,0,0,0,0,6,1.4335197847417682
45,10,1,3,0.11658027719050587,1,1,1,1,1,0,0,0,0,0,5,1.1808272224606462
46,10,1,3,0.17243107952998543,1,1,1,1,1,0,0,0,0,0,5,1.277104017827778
47,10,1,3,0.10461472937303704,1,1,1,1,1,1,1,0,0,0,7,1.7223341306761992
48,10,1,3,0.14278245395308722,1,1,1,1,1,1,1,0,0,0,7,1.4249626539236835
49,10,1,3,0.1397115325265662,1,1,1,1,1,1,0,0,0,0,6,1.4672808242493582
50,10,1,3,0.1673456144605317,1,1,1,1,1,1,1,1,0,0,8,1.571277990363837
51,10,1,3,0.15761254615370807,1,1,1,1,1,1,0,0,0,0,6,1.3261547552848025
52,10,1,3,0.08724174477386874,1,1,1,1,1,0,0,0,0,0,5,1.0770031625419345
53,10,1,3,0.1288844343851671,1,1,1,1,1,1,0,0,0,0,6,1.25935481446329
54,10,1,3,0.11917468584679822,1,1,1,0,0,0,0,0,0,0,3,1.1941206404507372
55,10,1,3,0.1269508078711222,1,1,1,1,1,1,0,0,0,0,6,1.4255900260950276
56,10,1,3,0.16643149826167541,1,1,1,0,0,0,0,0,0,0,3,1.3132430687319636
57,10,1,3,0.1279882210743835,1,1,1,1,1,1,0,0,0,0,6,1.5864243614037559
58,10,1,3,0.1122577726668755,1,1,1,1,1,1,0,0,0,0,6,1.131788144008687
59,10,1,3,0.1323079730076022,1,1,1,1,1,1,1,0,0,0,7,1.6511439801841084
60,10,1,3,0.11950534535835039,1,1,1,1,0,0,0,0,0,0,4,1.1325101341440682
61,10,1,3,0.11089032782123844,1,1,1,1,1,1,0,0,0,0,6,1.1846957930656852
62,10,1,3,0.116661747816219,1,1,1,1,1,1,1,0,0,0,7,1.487053045898758
63,10,1,3,0.15916198736953252,1,1,1,1,0,0,0,0,0,0,4,1.3440891145747695
64,10,1,3,0.15043413046073068,1,1,1,1,1,1,0,0,0,0,6,1.308148814111573
65,10,1,3,0.1459095511555855,1,1,1,1,1,1,1,1,0,0,8,1.3754385421916704
66,10,1,3,0.12138518388129374,1,1,1,1,1,0,0,0,0,0,5,1.4164617978810048
67,10,1,3,0.12339877579258016,1,1,1,1,1,0,0,0,0,0,5,1.1649822395024494
68,10,1,3,0.09431324768115915,1,1,1,1,1,1,1,0,0,0,7,1.347716495609545
69,10,1,3,0.1767795653115446,1,1,1,1,1,1,1,0,0,0,7,1.3770317704265405
