Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus
0,20,3,3,0.24216347819882403,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.6434448245068554
1,20,3,3,0.28568900831157534,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6099514844217873
2,20,3,3,0.27592254852079884,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.194474384666685
3,20,3,3,0.0785762131182353,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7645277484791015
4,20,3,3,0.27173460363436247,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.38965111580168
5,20,3,3,0.17473054721288903,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.21164193393238
6,20,3,3,0.25482122076897173,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.763386228011759
7,20,3,3,0.24490181653242837,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7364882827969428
8,20,3,3,0.205242577761638,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.2806642131944568
9,20,3,3,0.1948131417497695,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.309247544191075
10,20,3,3,0.2066698389393854,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,2.1625318614081435
11,20,3,3,0.2238668752275688,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5095877314450759
12,20,3,3,0.31081523064105965,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.7330592803224287
13,20,3,3,0.21545893494180207,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3366844984977342
14,20,3,3,0.14898712954230164,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.994857547566059
15,20,3,3,0.17040815911833904,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.025784355608603
16,20,3,3,0.3191303855442146,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5832164325290976
17,20,3,3,0.25077006941129876,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.9939648110687291
18,20,3,3,0.2822311671106036,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.3677457818119891
19,20,3,3,0.30709556212584843,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.9492924709598958
20,20,3,3,0.2911930518409772,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.8176813864814911
21,20,3,3,0.28467774407824487,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.4586095646553132
22,20,3,3,0.18504001088520963,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.2458475236391835
23,20,3,3,0.22074094569415104,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.0087770433341503
24,20,3,3,0.27989070736800653,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.9738177335106162
25,20,3,3,0.31158966049207293,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.601174936193575
26,20,3,3,0.20607889590167322,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.2140302888540941
27,20,3,3,0.20195101477402,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.1472196532123187
28,20,3,3,0.3284473216092381,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.4611602244467456
29,20,3,3,0.2530158794685995,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.6494449647237235
30,20,3,3,0.240013191403264,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7066700257366225
31,20,3,3,0.36285179165403264,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.631181284065299
32,20,3,3,0.22365077631687838,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.4355029039084422
33,20,3,3,0.32866082594293067,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.6966020630141125
34,20,3,3,0.21349393543977432,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.3226170464755036
35,20,3,3,0.19616522239109413,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3959929133255464
36,20,3,3,0.27743511017256006,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7527036698622367
37,20,3,3,0.29998300312375914,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7498883843112796
38,20,3,3,0.26930518255076535,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.4890655969725852
39,20,3,3,0.24574366994318805,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.7732046917865332
40,20,3,3,0.2844955459009839,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.4214835360390903
41,20,3,3,0.2923740644421332,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7350187996090134
42,20,3,3,0.2534986379574634,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.6401374511471603
43,20,3,3,0.24402644860626913,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.444979365258964
44,20,3,3,0.26826913109636613,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.537966566325963
45,20,3,3,0.27273052157125555,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.8405588771794057
46,20,3,3,0.15547627827007088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0496812580025208
47,20,3,3,0.26616405026065443,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.463237608513692
