Instance,N,K,L,c.1,c.2,c.3,c.4,c.5,p.1,p.2,p.3,p.4,p.5,theta1.1,theta1.2,theta1.3,theta1.4,theta1.5,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1
0,5,1,3,0.25,0.0,0.6975,0.25,0.49500000000000005,1.0,0.1,0.775,0.325,0.55,0.5,0.5,0.5,0.5,0.5,0.395600482655329,0.47424366570365034,0.2710968360308168,0.25561700983281493,0.3281102648025002,3.9628331629810885,3.2983851932103634,2.320758985154307,3.605826323645801,2.9404185611600036,0.10876107885430393,1.6641745663310177
1,5,1,3,0.25,0.25,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,1.0,0.5,0.0,0.0,0.376531948666708,0.21609560574445633,0.20351614002562182,0.27027607978898727,0.2510746368082101,2.927339661694338,3.4860926114598136,2.956845307960907,2.1071874184008355,4.83703576224514,0.14960106350130764,1.0260121143868601
2,5,1,3,0.25,0.25,0.0,0.9,0.25,0.775,0.55,0.1,1.0,0.325,0.5,1.0,0.5,1.0,0.0,0.26469623488070376,0.20670792705661928,0.27920472683523156,0.26597408306482073,0.28981227408307214,3.1148518520063906,4.066276541561482,4.975808437077108,4.858225737873951,4.4448490781403045,0.14679062926351272,1.147562887706829
3,5,1,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.0,0.5,1.0,0.0,0.5,0.34930565520462076,0.42019227357146216,0.4450853720399224,0.3826237855690914,0.3958652193708867,3.3148312394124755,4.117133365565944,4.285115235979087,4.405227639748503,2.4430422570513515,0.12863625916187255,1.3439069553457719
4,5,1,3,0.0,0.9,0.6975,0.25,0.49500000000000005,0.1,1.0,0.775,0.325,0.55,0.5,1.0,0.5,0.5,0.5,0.38252560947313735,0.49878833723184257,0.41570316159137644,0.46485108182853435,0.3590693438720325,2.0215018041180737,2.0960398968668166,2.6286709940325808,4.496473502588303,2.60818356650556,0.12249934504974742,1.1954324943708277
5,5,1,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.5,0.5,0.0,0.2742328311666795,0.33389207515505104,0.3363229029288033,0.4782897617360643,0.38655816973969415,2.5098556970242565,3.003427817277646,4.5007239381782025,4.88543671842341,4.821806892640047,0.16848437623355256,1.6476306214793985
6,5,1,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.5,0.0,0.5,0.5,0.0,0.3550245541718604,0.3658608002611756,0.48233763726101414,0.2784013340242931,0.2161959395973683,3.9367068373560326,4.724180428243116,3.4606755791812427,2.356282108766943,3.0497140738984982,0.1468067848622043,1.389276012237465
7,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,1.0,0.5,0.0,0.0,0.4377471488466106,0.4647957422890725,0.2572429522388952,0.330763795527542,0.36124177179587236,2.0989878499607264,4.8155527445658155,3.4205164961781658,4.091605793565908,4.087765172844761,0.16950067463391683,1.2857975681643123
8,5,1,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,1.0,1.0,0.5,0.5,0.3545050338311908,0.29707614691733064,0.4823802558180348,0.34326621229094856,0.3265457549540789,3.665915856543355,4.5266640007779895,3.904558243099115,2.7242772205194186,3.1456745172888216,0.1530448816790792,1.720004928565834
9,5,1,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,0.5,0.5,0.5,1.0,0.0,0.338201672306215,0.46879905741215655,0.20012211514325662,0.3464804038173477,0.4523708325657437,3.9014710976746008,3.1167039006159025,4.713050691694944,3.5885137890094123,4.79047931796115,0.15148326440430465,1.5355289594536878
