Instance,N,K,L,c.1,c.2,c.3,c.4,c.5,p.1,p.2,p.3,p.4,p.5,theta1.1,theta1.2,theta1.3,theta1.4,theta1.5,theta2.1,theta2.2,theta2.3,theta2.4,theta2.5,theta3.1,theta3.2,theta3.3,theta3.4,theta3.5,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3
0,5,3,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.22710037920549217,0.4003767763060929,0.25187284081936684,0.2594389241432975,0.40765143809568666,2.6151985764831296,3.583039903969809,2.326927076056961,4.029538581540091,4.040394261466776,0.14110670656926996,1.0145443784576624,1.0145443784576624,1.0145443784576624
1,5,3,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.2921146724005139,0.2189056493442806,0.37540774329171145,0.23045590739846833,0.42302186076529963,3.7832344177461055,3.4617911299557296,4.2839497187289215,2.805262858780962,2.073205941979902,0.18959408925975735,1.580261143309905,1.580261143309905,1.580261143309905
2,5,3,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.3139888014381426,0.2003197141988894,0.4607742800622416,0.21426204500485527,0.20421088334307336,2.3974119025225167,2.718752078948584,4.117780263420541,3.2214717435530096,3.829477073613051,0.11510296866941822,1.0986310169618905,1.0986310169618905,1.0986310169618905
3,5,3,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.47184043769044676,0.4983251495869042,0.26558759717049074,0.4388122692829643,0.4328542642440655,2.8112359389604338,4.931312803529759,3.9208906738102893,2.159644472090623,2.397262135939595,0.13554721966393707,1.3179534916964066,1.3179534916964066,1.3179534916964066
4,5,3,3,0.25,0.0,0.25,0.0,0.6975,1.0,0.325,0.55,0.1,0.775,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.2346077546022418,0.20822963305339617,0.32143361110945246,0.22285738758883494,0.31447256796867956,4.844951120626378,3.1461008541653555,2.2550887674156024,3.8755979694366856,4.26686151374984,0.1631345302346462,1.2342109696546117,1.2342109696546117,1.2342109696546117
5,5,3,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.3352325671744625,0.30462323176184586,0.4422795337072477,0.3310698983061334,0.36754847048373396,4.718123006029439,3.389753952495627,3.109974675235268,3.0256641476774897,2.8063364742656143,0.17585151004040733,1.8686724130148455,1.8686724130148455,1.8686724130148455
6,5,3,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.27066346620163634,0.35177493662084713,0.37767446683525974,0.20685314498796295,0.3762467915401067,2.04167964203889,3.1254318771279492,2.55860534107517,3.0285868547779695,2.481563097491214,0.11498380597933347,1.6745212365720126,1.6745212365720126,1.6745212365720126
7,5,3,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.45802423208156345,0.23456290086123333,0.20349540182294046,0.4050343821552022,0.43452205330493,2.83947663645412,4.039714121922775,2.4144961513756567,4.35642450687234,3.5818252478220076,0.11529885352457805,1.3014841052571096,1.3014841052571096,1.3014841052571096
8,5,3,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.33826022423795377,0.47466160055166473,0.46153489183212587,0.417905524367108,0.35590381401405397,3.446126432590491,4.1220830478252175,4.756004532881041,2.260335288689126,4.574230602746804,0.16322937721082914,1.41829100533539,1.41829100533539,1.41829100533539
9,5,3,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.3822475131898543,0.3000726909289321,0.2403523586657018,0.4695559186027457,0.3732484415447648,2.5223817656778396,4.572152485211785,2.5333542861372225,4.669043412205024,4.8663785072104755,0.15064133897297038,1.0001255794058757,1.0001255794058757,1.0001255794058757
