Instance,N,K,L,c.1,c.2,c.3,c.4,c.5,p.1,p.2,p.3,p.4,p.5,theta1.1,theta1.2,theta1.3,theta1.4,theta1.5,theta2.1,theta2.2,theta2.3,theta2.4,theta2.5,theta3.1,theta3.2,theta3.3,theta3.4,theta3.5,theta4.1,theta4.2,theta4.3,theta4.4,theta4.5,theta5.1,theta5.2,theta5.3,theta5.4,theta5.5,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5
0,5,5,3,0.25,0.5,0.25,0.0,0.25,0.775,1.0,0.55,0.1,0.325,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.2866970233569436,0.2592692646884772,0.49354465754605864,0.4477613279367272,0.3880282120002453,2.277047137710396,4.953857768846916,2.3081185643752153,3.6004362460072956,4.74405271633324,0.197344432462176,1.71643934825241,1.71643934825241,1.71643934825241,1.71643934825241,1.71643934825241
1,5,5,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.33853662572538196,0.28353957054877293,0.28956775395816814,0.3769595434479105,0.4462883225963845,3.818295442759018,4.772846769248611,2.169389662264548,3.8204516164950353,4.024013966290623,0.16461880270587798,1.9473001885153625,1.9473001885153625,1.9473001885153625,1.9473001885153625,1.9473001885153625
2,5,5,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.2813059672281155,0.454181129147853,0.31920711807997937,0.2647646061117249,0.49636941264381906,4.487548795343281,2.9929091275762967,4.673540130043716,3.5534022627911264,3.7493956975837324,0.11355983388146028,1.2276060863751943,1.2276060863751943,1.2276060863751943,1.2276060863751943,1.2276060863751943
3,5,5,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.20161808920579327,0.4430421011471698,0.4331988323964918,0.39077085113999555,0.3006770208092078,4.397319035253438,3.44498653140202,3.3949728152843868,2.4556351146986497,2.404395547069665,0.19043321081421732,1.7556366161594883,1.7556366161594883,1.7556366161594883,1.7556366161594883,1.7556366161594883
4,5,5,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.3299422810321385,0.38771810826829123,0.46612143255504224,0.37608386663753113,0.3546082629528081,2.434470047135645,3.118832106267299,3.79379314596287,2.343224070368055,2.9367218667635795,0.10934057895144252,1.2594804792684546,1.2594804792684546,1.2594804792684546,1.2594804792684546,1.2594804792684546
5,5,5,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.31582765331582247,0.24693650845670395,0.3851417666176501,0.2559933759876813,0.2527303370630117,4.290910922224822,4.130326199284277,4.178351647565258,2.279451531553986,3.0646904672667112,0.10572318181761976,1.6229521474428112,1.6229521474428112,1.6229521474428112,1.6229521474428112,1.6229521474428112
6,5,5,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,0.5,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.49770905942489446,0.24283965065443192,0.34985527531693184,0.3659271789876092,0.3144926023453985,2.190379552970584,4.0276436047387545,2.0040886305501338,4.772199131399766,2.803344227158498,0.14508971069739762,1.9647517975796536,1.9647517975796536,1.9647517975796536,1.9647517975796536,1.9647517975796536
7,5,5,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.49265966651091975,0.3855861763288956,0.4838933228005265,0.4376565975584715,0.4681975171311681,3.7733918713103236,3.1873841426035976,2.0605955802261953,2.831814892939604,2.591034077513969,0.13747556594241883,1.7265415497772472,1.7265415497772472,1.7265415497772472,1.7265415497772472,1.7265415497772472
8,5,5,3,0.25,0.5,0.75,0.0,0.25,0.55,0.775,1.0,0.1,0.325,1.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.25230508984554467,0.2972973917897965,0.32717670890021977,0.24941669572972092,0.33762160698523,4.085361763548138,2.265520431010068,4.8506690989190995,3.6064103475815794,2.6573464087309353,0.18971690266033564,1.7693749607060236,1.7693749607060236,1.7693749607060236,1.7693749607060236,1.7693749607060236
9,5,5,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.4650708942533875,0.4557718353235086,0.37164417527779015,0.33323574092363684,0.20400337000651955,2.0377862764040433,4.037376870358843,2.438031933404994,2.6210099577391146,2.9024511376754676,0.1459154907974162,1.2286544653219988,1.2286544653219988,1.2286544653219988,1.2286544653219988,1.2286544653219988
10,5,5,3,0.75,0.0,0.6975,0.25,0.49500000000000005,1.0,0.1,0.775,0.325,0.55,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.2506971003120329,0.3353587106638853,0.3623145477734545,0.3440498969171828,0.4613054259278926,4.166087805601145,2.675078636578564,3.113979695828606,3.509488307460561,2.1493557939607784,0.14766189859324802,1.8986466717687924,1.8986466717687924,1.8986466717687924,1.8986466717687924,1.8986466717687924
11,5,5,3,0.0,0.9,0.6975,0.25,0.49500000000000005,0.1,1.0,0.775,0.325,0.55,0.0,0.5,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.49958084443490336,0.20058232486916563,0.3315841820099795,0.2163221044894755,0.3121080333004534,4.292456600722179,3.2628847644913748,4.376824810582157,4.096325324868654,2.53952076757642,0.16944912859304223,1.274505890017714,1.274505890017714,1.274505890017714,1.274505890017714,1.274505890017714
12,5,5,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.286931892545456,0.22023055692150958,0.4841077989155015,0.45437642780841364,0.4138520755708671,2.0353637573467305,2.8215310003617664,2.364860020361304,2.774772237316892,2.286124380862688,0.1740377521244961,1.9392246645746725,1.9392246645746725,1.9392246645746725,1.9392246645746725,1.9392246645746725
13,5,5,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.4502525253207792,0.2174839448285031,0.4483975985435629,0.35100507043891815,0.3214356522740695,4.575758350198358,3.583247286386204,3.6176292884406216,3.8237005783632307,4.568931929470778,0.17629354326182184,1.1043425442305577,1.1043425442305577,1.1043425442305577,1.1043425442305577,1.1043425442305577
14,5,5,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.25890654516169703,0.41472868239695115,0.4744996529132419,0.4371325139011294,0.44944368079404107,2.0631743474284714,2.6989677236397895,3.5231731803298922,4.2398131394093,3.996345173491261,0.14687219576381483,1.7482324619069045,1.7482324619069045,1.7482324619069045,1.7482324619069045,1.7482324619069045
15,5,5,3,0.25,0.25,0.25,0.0,0.25,1.0,0.775,0.55,0.1,0.325,1.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.3015941273784552,0.22375915750491787,0.23740930403647392,0.23565449990091603,0.3533276464049255,3.638640890905921,2.3533118190500053,3.870877645836826,3.0830806973647675,4.4640082652657505,0.15941186098393562,1.0147730366455947,1.0147730366455947,1.0147730366455947,1.0147730366455947,1.0147730366455947
16,5,5,3,0.25,0.5,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.4159779196408055,0.4114435737156147,0.24914345813622607,0.20963203863981655,0.41556105648599373,2.9232954463554686,4.847358647493253,3.3865713249480285,2.7908490108086337,2.024300550813562,0.1030676915041494,1.2811853779917524,1.2811853779917524,1.2811853779917524,1.2811853779917524,1.2811853779917524
17,5,5,3,0.5,0.0,0.25,0.5,0.0,1.0,0.325,0.55,0.775,0.1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.48835930431836727,0.4122812549879637,0.3385446389562422,0.3782621590316632,0.43213261443787954,3.4409541294820647,2.2507049021196783,4.527749814192619,3.5775455796511877,4.883028379340814,0.152815897649663,1.8053921454392585,1.8053921454392585,1.8053921454392585,1.8053921454392585,1.8053921454392585
18,5,5,3,0.25,0.0,0.25,0.75,0.0,0.775,0.325,0.55,1.0,0.1,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.49007347458653183,0.4692663085629978,0.3490165275684385,0.49233903675437224,0.42104992104316774,2.3364852524537714,2.637109837624736,3.3194546817972137,2.7185565844140287,4.973947016920728,0.1914858245162735,1.702948358152419,1.702948358152419,1.702948358152419,1.702948358152419,1.702948358152419
19,5,5,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.22980198441029892,0.4642551642827343,0.32437154989883343,0.2728444708284519,0.23557285238239287,2.611002324059069,4.818264948788457,3.3318542646499,3.5373274601614626,4.195230344144065,0.14871509778169512,1.5492606554847703,1.5492606554847703,1.5492606554847703,1.5492606554847703,1.5492606554847703
