Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus
0,5,1,3,0.07012570789951572,1,1,1,1,0,4,0.972122027678593
1,5,1,3,0.14793050181371192,1,1,0,1,0,3,0.504586440293402
2,5,1,3,0.08379145152973935,1,1,1,1,0,4,0.7522988778306201
3,5,1,3,0.12672212886360273,1,1,1,0,0,3,0.5170784456045012
4,5,1,3,0.06463479591502656,1,1,1,1,0,4,1.1754191067108914
5,5,1,3,0.11423091889211798,1,1,0,0,0,2,0.5379979077314484
6,5,1,3,0.13721716502016146,1,1,1,0,0,3,0.5871929226091646
7,5,1,3,0.13655671450358586,1,1,1,0,0,3,0.5851340074334528
8,5,1,3,0.14078515630810376,1,1,1,1,0,4,1.2094167248438885
9,5,1,3,0.1268339711080162,1,1,1,1,0,4,0.4982927277845795
10,5,1,3,0.1748055202065354,1,1,1,1,0,4,1.1041945181986808
11,5,1,3,0.14733412169300206,1,1,1,1,0,4,1.2301543960962642
12,5,1,3,0.10051759240600662,1,1,1,0,0,3,0.9618623704962922
13,5,1,3,0.2638410876064252,1,1,1,0,0,3,1.4362961952762967
14,5,1,3,0.19319893909603875,1,1,1,0,0,3,0.8046360355325175
15,5,1,3,0.20349281379865702,1,1,1,0,0,3,0.6183835501001265
16,5,1,3,0.11586337296420593,1,1,0,0,0,2,0.2873133158685002
17,5,1,3,0.2901216910301835,1,1,0,0,0,2,0.7946405013957638
18,5,1,3,0.20795774806350512,1,1,1,1,0,4,0.8768084645498522
19,5,1,3,0.21981609960614018,1,1,1,0,0,3,0.6843926227674971
20,5,1,3,0.18862154842648338,1,1,0,1,0,3,0.8241982973874808
21,5,1,3,0.2528410338493676,1,1,1,0,0,3,0.7395312309492403
22,5,1,3,0.16437216453645803,1,1,0,0,0,2,0.9209001852908969
23,5,1,3,0.3269309225989911,1,1,0,1,0,3,1.3413849797418953
24,5,1,3,0.13548132809485278,1,1,1,0,0,3,0.6176559637681791
25,5,1,3,0.18176271579503853,1,1,1,1,0,4,1.5750072551414276
26,5,1,3,0.14362784728127553,1,1,1,0,0,3,0.8052721816000279
27,5,1,3,0.07937500084821397,1,1,1,0,0,3,0.7313577552544694
28,5,1,3,0.1101204122470549,1,1,0,0,0,2,0.3061805016562204
29,5,1,3,0.0962855715481856,1,1,1,1,1,5,3.1525367724039093
30,5,1,3,0.1852239202076526,1,1,1,0,0,3,0.8923112030398136
31,5,1,3,0.16495846863231312,1,1,1,1,0,4,0.6699194560031672
32,5,1,3,0.1074915931064836,1,1,1,0,0,3,0.4024019275143155
33,5,1,3,0.2211096820373282,1,1,1,1,0,4,1.3619580814995975
34,5,1,3,0.11636872010263581,1,1,0,1,0,3,0.5618246125385901
35,5,1,3,0.14914359112524225,1,1,1,0,0,3,0.5566364813868665
36,5,1,3,0.24150468221553523,1,1,0,1,0,3,0.814454645862157
37,5,1,3,0.1807070711572946,1,1,1,0,0,3,0.8204147805324699
38,5,1,3,0.10645390164316551,1,1,1,0,0,3,0.7368820181505835
39,5,1,3,0.14552260734331623,1,0,0,1,0,2,0.5988456271530748
40,5,1,3,0.16364474527144005,1,1,1,0,0,3,0.8887531016186426
41,5,1,3,0.09928157046495538,1,1,1,1,0,4,2.1316803405124585
42,5,1,3,0.21130598809096984,1,1,1,1,0,4,1.5359015020026165
43,5,1,3,0.22293004631818797,1,1,1,1,0,4,1.0031479128095102
44,5,1,3,0.2588267813240565,1,1,1,0,0,3,0.6655349041345999
