Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus
0,10,3,3,0.5257632947045614,1,1,0,0,0,0,0,0,0,0,2,3.1519585273800654
1,10,3,3,0.3269975159280375,1,1,0,0,0,0,0,0,1,0,3,3.0524306090128177
2,10,3,3,0.4246622684218979,1,1,1,0,0,1,0,0,0,0,4,3.191258687246228
3,10,3,3,0.4965741063962999,1,0,0,0,0,0,0,1,0,0,2,1.7199905166906282
4,10,3,3,0.3760403184035066,1,1,1,0,0,0,0,0,0,0,3,1.818421174761931
5,10,3,3,0.48332219980690994,1,1,0,0,0,0,0,0,1,0,3,2.1643992366750084
6,10,3,3,0.3652394630526868,1,0,0,0,0,0,1,0,0,0,2,2.8906706723954274
7,10,3,3,0.2960268330023349,1,1,1,1,0,0,0,0,0,0,4,2.426976406858339
8,10,3,3,0.3344576673506452,1,1,1,0,1,0,0,0,0,0,4,2.0564776795386486
9,10,3,3,0.3144961644735774,1,1,0,0,0,0,1,0,1,0,4,3.0764822926860744
10,10,3,3,0.29752880066887355,1,0,1,1,1,0,1,1,0,0,6,3.322524202031869
11,10,3,3,0.34570024279558226,1,1,0,0,0,0,0,1,0,0,3,1.3614358447107597
12,10,3,3,0.28428062236607843,1,0,0,1,0,0,0,0,0,0,2,2.9646721926466673
13,10,3,3,0.3522045923911855,1,1,0,0,0,0,0,0,1,0,3,2.1026772303833203
14,10,3,3,0.6352226961440268,1,0,1,0,0,0,0,0,0,0,2,1.9035378760574846
15,10,3,3,0.46661816418653296,1,1,1,0,0,0,1,0,0,0,4,3.256931437631653
16,10,3,3,0.2944383474178818,1,1,1,1,0,1,0,0,0,0,5,3.147891345328609
17,10,3,3,0.5832158968713467,1,1,0,1,0,0,0,0,0,0,3,2.604213571963866
18,10,3,3,0.46735322425409825,1,1,0,1,1,0,0,0,0,0,4,1.8828738151160287
19,10,3,3,0.5249243034562747,1,1,0,0,0,0,0,0,1,0,3,2.249307444648934
20,10,3,3,0.30850671368321075,1,1,0,0,0,0,0,0,1,0,3,2.354634054923887
21,10,3,3,0.4262035200310276,1,1,0,0,1,0,0,0,0,0,3,2.675938382683627
22,10,3,3,0.2744592611045947,1,1,1,1,0,1,0,0,0,0,5,1.9400642647414985
23,10,3,3,0.4740950908943935,1,1,0,0,1,0,0,0,0,0,3,1.8170239840596567
24,10,3,3,0.2815514107230785,1,1,1,0,0,0,0,0,0,0,3,1.4143368796690674
25,10,3,3,0.4723234362928026,1,1,0,0,0,0,0,0,1,0,3,1.9785016479289494
26,10,3,3,0.48757018099474847,1,0,0,0,0,1,0,0,0,0,2,2.5499727220644663
27,10,3,3,0.3616317341563582,1,1,0,0,0,0,1,0,0,0,3,1.4910640542075533
28,10,3,3,0.49830273554345605,1,1,0,0,0,0,0,0,0,0,2,1.4709202227521023
29,10,3,3,0.404221510528864,1,0,1,0,0,0,0,0,0,0,2,1.1295789946172443
30,10,3,3,0.48645149012700994,1,0,0,1,0,0,0,0,0,0,2,2.1903405026380836
31,10,3,3,0.5700340908882233,1,1,0,0,0,0,1,0,0,0,3,2.181224876279034
32,10,3,3,0.29139105238500834,1,1,1,0,1,0,1,0,0,0,5,4.602368229758021
33,10,3,3,0.6185412916520753,1,0,0,1,0,0,0,0,0,0,2,1.8179908268012548
34,10,3,3,0.24897585863678162,1,1,1,0,0,0,0,0,0,0,3,2.7475270309437656
35,10,3,3,0.30489968770045056,1,1,0,0,0,0,0,0,0,0,2,1.303565484149851
36,10,3,3,0.45315839696505295,1,0,0,1,0,0,0,0,0,0,2,1.7785676852769658
37,10,3,3,0.366104553440886,1,1,1,0,0,0,0,0,0,0,3,1.124426494905916
38,10,3,3,0.3297518020475927,1,1,0,0,0,0,0,0,0,0,2,1.1593690139403992
39,10,3,3,0.530369265404788,1,1,0,1,0,0,0,0,0,0,3,1.7133574218312075
40,10,3,3,0.25925420235063323,1,1,0,0,0,0,0,1,0,0,3,1.7704042946918934
41,10,3,3,0.4285441818997453,1,1,1,0,0,0,1,0,0,0,4,1.379469496542317
42,10,3,3,0.43199317343518295,1,1,1,0,0,1,0,0,0,0,4,2.9366843095859196
43,10,3,3,0.32438652319865513,1,1,1,0,0,0,0,1,0,0,4,1.8167684077504063
44,10,3,3,0.3541707883636938,1,1,0,0,0,0,0,0,1,0,3,1.9367284917422416
45,10,3,3,0.44966755591865487,1,1,0,0,0,1,0,0,0,0,3,2.3384686460188333
46,10,3,3,0.23767424825420927,1,1,1,1,1,0,0,0,0,0,5,1.6045469751660477
47,10,3,3,0.2505214666013362,1,1,1,1,0,0,1,0,0,0,5,1.5533990456615274
48,10,3,3,0.5386159649120196,1,1,0,0,0,0,0,0,1,0,3,3.581933350861485
49,10,3,3,0.41150796876865936,1,1,0,0,0,0,0,0,0,0,2,1.6781559088018279
50,10,3,3,0.38704227581316275,1,1,0,0,0,0,0,0,1,0,3,1.4881125833096296
