Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus
0,20,5,3,0.44822543852302565,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5.041111445263003
1,20,5,3,0.46347679168054695,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4.604637349574401
2,20,5,3,0.44395768572752603,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3.0162448273112124
3,20,5,3,0.5980513992886217,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,5.208982576680806
4,20,5,3,0.6447676510750165,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4.862510941457398
5,20,5,3,0.4816212910158672,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,3.446489228421798
6,20,5,3,0.4323190794761249,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.7125337439310497
7,20,5,3,0.5545961795025504,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5.70007058109604
8,20,5,3,0.6183234032015129,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3.5532666375205695
9,20,5,3,0.5523547865755628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4.506161731060342
10,20,5,3,0.6305451386086613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.176024135527489
11,20,5,3,0.6752689751712327,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.5228271881605613
12,20,5,3,0.6924119125727499,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4.570628714730716
13,20,5,3,0.6825993482336592,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3.776688603666021
14,20,5,3,0.45649633878648355,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2.456547361728686
15,20,5,3,0.6632742452312719,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6.0066677810521085
16,20,5,3,0.39589001799658363,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3.8570999748694232
17,20,5,3,0.6387822628641024,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2.461752138957153
18,20,5,3,0.4988129917738255,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6.321317769716912
19,20,5,3,0.6503935978987704,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.0669757073037625
20,20,5,3,0.7292829051024969,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4.689943662923336
