Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus
0,20,5,3,0.4444746512274747,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,6.928789826392726
1,20,5,3,0.4507352238520209,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4.787558523416136
2,20,5,3,0.4199482176890187,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3.985112381244144
3,20,5,3,0.594106237945424,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,5.2091367248065295
4,20,5,3,0.6229449710085524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3.6369093765899745
5,20,5,3,0.4670338952811427,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,4.782367453456852
6,20,5,3,0.41797252902465626,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.468100032094063
7,20,5,3,0.543750378124223,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5.842668896193945
8,20,5,3,0.5546964245895506,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.3108038262105053
9,20,5,3,0.5523547865755628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4.506161731060342
10,20,5,3,0.4272528965368914,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6.075174417755555
11,20,5,3,0.6185950519990794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3.840342093757718
12,20,5,3,0.6862916676330194,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4.7506525130538195
13,20,5,3,0.6182816653198382,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.749682287575046
14,20,5,3,0.42912956183180495,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3.9840936641521676
15,20,5,3,0.5571984748846719,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6.102981046651371
16,20,5,3,0.3672427296799694,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,3.731267473269663
17,20,5,3,0.5739281249430153,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3.682546010183257
18,20,5,3,0.4869860998073212,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,6.592384783200525
19,20,5,3,0.6226239693822333,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5.40704444360275
20,20,5,3,0.6798228889987297,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5.836732501678489
21,20,5,3,0.5158486313430302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5.298229549721153
22,20,5,3,0.39979679085534403,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.191589327231577
23,20,5,3,0.5073482093268586,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,4.416955489883309
24,20,5,3,0.5781414107872144,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.9020749386936995
25,20,5,3,0.5193245381419469,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.7486672622292203
26,20,5,3,0.4858713287896601,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,6.290413015141727
27,20,5,3,0.6035606466329878,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.77301201842287
28,20,5,3,0.371145565491883,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,7.9410162982080585
29,20,5,3,0.4339244301052966,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.673540846399945
30,20,5,3,0.6908388565122502,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4.4353247062857495
31,20,5,3,0.6020162921295199,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,6.148344966741843
32,20,5,3,0.529391600833168,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.0079958834672476
33,20,5,3,0.4749754542991972,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4.32056784256483
34,20,5,3,0.5332319378816759,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3.6442065859586843
35,20,5,3,0.5732806752248273,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5.6047122490167975
36,20,5,3,0.46211305637621053,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3.6087303154178962
37,20,5,3,0.6692323216356714,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,5.191142050112188
38,20,5,3,0.5175692247738126,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3.967175026853704
39,20,5,3,0.4627475540203815,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4.180213710770919
40,20,5,3,0.6959026542249064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4.963507118694338
41,20,5,3,0.5625729528673574,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.109218905332046
42,20,5,3,0.5387210869203432,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,4.985099479322523
43,20,5,3,0.41455161652964256,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5527208614575057
44,20,5,3,0.6253260857018745,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,5.588237385099668
45,20,5,3,0.43243596539199364,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.597601992792379
46,20,5,3,0.4792709161949433,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,6.21200769157711
47,20,5,3,0.5464486414784122,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4.399231511641709
48,20,5,3,0.6017442574672996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.8623433830867584
49,20,5,3,0.6793920725740884,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5.065342570581623
50,20,5,3,0.6879142878644023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4.126388477757283
51,20,5,3,0.5090566139925551,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4.852766885722032
52,20,5,3,0.3906643330454877,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.061573683647828
53,20,5,3,0.49551756861720714,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.101509227294178
54,20,5,3,0.5103501750975294,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6.79665386901199
55,20,5,3,0.5414552650007719,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.8254220771034664
56,20,5,3,0.6001469516946826,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,7.0942716375851145
57,20,5,3,0.4791620183606529,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3.214293908032343
58,20,5,3,0.4903464036118015,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3.5421999428478053
59,20,5,3,0.5551337321894589,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6.033363307761846
60,20,5,3,0.33468834451970486,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,3.3760134035538214
61,20,5,3,0.3787721051786244,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3.770770720190578
62,20,5,3,0.668975074992955,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4.312149493573671
63,20,5,3,0.5215993028143386,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5.3430843909653625
64,20,5,3,0.5285947622468183,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5.655772584800282
65,20,5,3,0.4938008111893486,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,4.446446030307307
66,20,5,3,0.6373431169512597,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3.96908064016822
67,20,5,3,0.557511118973907,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.2523359529800917
68,20,5,3,0.48553045601300265,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5.430441971549683
69,20,5,3,0.6050756117240801,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4.326443920465251
70,20,5,3,0.5449910423222338,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.6166171521401544
71,20,5,3,0.45042887743384863,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3.005818528951904
72,20,5,3,0.4435275769669506,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3.778658657478511
